	theta	alpha	s_l3	s_a	l	a	trap_sep_a	plaquette_cte	h
0	0.5235987755982988	0.5235987755982989	7.505553499465135	7.505553499465135	26.697941654890258	19.544249748889186	4.533142749958916	46.242191403779444	13.000000000000002
1	0.4861988630555632	0.5422987318696667	7.5888075343895744	7.5888075343895744	26.781195689814695	22.32730958466465	7.149694515885502	47.35533473164895	13.418763118995171
2	0.4487989505128276	0.5609986881410345	7.67664371223143	7.67664371223143	26.869031867656552	25.10025042045779	9.74696299599493	48.416322446873096	13.83283398939875
3	0.4113990379700919	0.5796986444124024	7.769285571412969	7.769285571412969	26.96167372683809	27.86058841485466	12.322017272028722	49.424104986201975	14.242067819664657
4	0.3739991254273563	0.5983986006837702	7.866975264361142	7.866975264361142	27.059363419786262	30.605911024030043	14.871960495307759	50.37770212500458	14.646321509654172
5	0.3365992128846207	0.6170985569551379	7.9699753229880566	7.9699753229880566	27.162363478413177	33.333884337830824	17.393933691854713	51.27620419810201	15.04545370067495
6	0.299199300341885	0.6357985132265058	8.078570639214275	8.078570639214275	27.270958794639398	36.04226079201057	19.885119513582023	52.1187732237436	15.439324824911044
7	0.2617993877991494	0.6544984694978736	8.193070691066719	8.193070691066719	27.38545884649184	38.72888731251902	22.342745930385583	52.90464392920581	15.827797154226737
8	0.2243994752564138	0.6731984257692414	8.313812049984561	8.313812049984561	27.506200205409684	41.39171395803636	24.76408985806724	53.63312467663062	16.21073484832707
9	0.18699956271367818	0.6918983820406092	8.441161211043974	8.441161211043974	27.633549366469097	44.02880313918699	27.146480717099042	54.30359828785902	16.58800400225822
10	0.14959965017094257	0.7105983383119769	8.575517795078305	8.575517795078305	27.767905950503426	46.63833950749611	29.487303917339503	54.915522767155935	16.959472693231145
11	0.1121997376282069	0.7292982945833448	8.717318180388153	8.717318180388153	27.909706335813276	49.21864062469188	31.784004263915573	55.46843192086489	17.325011026752104
12	0.07479982508547128	0.7479982508547126	8.867039632236198	8.867039632236198	28.05942778766132	51.768168544067095	34.034089279594696	55.96193587317398	17.684491182043903
13	0.03739991254273567	0.7666982071260804	9.025205011018969	9.025205011018969	28.21759316644409	54.28554246112609	36.235132439088154	56.39572147731975	18.037787456742084
14	0.0	0.7853981633974483	9.192388155425117	9.192388155425117	28.38477631085024	56.76955262170048	38.38477631085024	56.76955262170048	18.384776310850235
