,start,stop
346,139,140
347,140,304
348,825,821
349,821,820
350,137,138
351,137,84
352,575,137
353,304,138
354,302,138
355,819,303
356,304,819
357,819,820
358,302,303
359,303,818
360,1157,823
361,825,823
362,823,822
363,820,1157
364,997,1157
365,10,1156
366,1156,822
367,997,1156
368,50,10
369,301,10
370,817,816
371,820,817
372,818,817
373,816,997
374,816,565
375,566,564
376,564,997
377,301,564
378,565,566
379,323,566
380,158,286
381,158,50
382,158,127
383,301,286
384,286,834
385,836,284
386,127,836
387,836,834
388,284,1217
389,284,285
390,321,584
391,321,301
392,323,321
393,584,834
394,318,584
395,156,835
396,834,835
397,285,835
398,156,318
399,156,1210
400,52,652
401,52,1208
402,52,374
403,652,325
404,180,652
405,653,649
406,374,649
407,180,649
408,651,653
409,653,654
410,324,585
411,325,324
412,324,1222
413,180,585
414,585,544
415,655,542
416,655,180
417,655,654
418,542,544
419,648,542
420,897,182
421,651,182
422,373,182
423,654,897
424,897,646
425,898,204
426,898,373
427,898,646
428,1122,204
429,204,178
430,647,899
431,654,647
432,648,647
433,899,646
434,200,899
435,179,707
436,646,179
437,179,178
438,200,707
439,416,707
440,708,1124
441,1124,1122
442,1124,792
443,708,178
444,708,206
445,713,205
446,792,205
447,206,205
448,713,538
449,715,713
450,417,415
451,415,178
452,415,416
453,206,417
454,417,421
455,420,716
456,420,206
457,420,715
458,421,716
459,716,949
460,693,537
461,537,538
462,710,537
463,693,715
464,693,694
465,947,948
466,710,947
467,694,947
468,948,712
469,202,948
470,714,695
471,715,714
472,949,714
473,694,695
474,403,695
475,404,203
476,203,694
477,203,202
478,403,404
479,404,945
480,958,957
481,958,712
482,958,728
483,957,202
484,441,957
485,440,727
486,440,728
487,440,441
488,727,437
489,727,956
490,201,418
491,201,202
492,201,945
493,441,418
494,418,439
495,1065,216
496,441,216
497,216,956
498,1065,439
499,1065,1064
500,1137,1180
501,437,1180
502,1063,1180
503,1137,956
504,1137,722
505,724,1136
506,1136,1063
507,1136,722
508,724,435
509,214,724
510,723,1066
511,956,1066
512,1066,1064
513,723,722
514,723,951
515,434,952
516,722,434
517,434,214
518,952,951
519,234,952
520,436,213
521,436,435
522,436,453
523,213,214
524,213,85
525,235,136
526,453,235
527,85,235
528,136,81
529,136,464
530,745,463
531,214,463
532,234,463
533,745,85
534,745,743
535,967,465
536,85,465
537,464,465
538,743,967
539,967,467
540,300,746
541,81,300
542,300,135
543,464,746
544,746,42
545,41,581
546,41,135
547,42,41
548,581,313
549,826,581
550,466,299
551,464,466
552,466,467
553,299,42
554,299,139
555,147,998
556,42,147
557,147,826
558,998,139
559,825,998
560,149,317
561,149,313
562,149,150
563,317,826
564,317,316
565,315,152
566,150,315
567,316,315
568,582,152
569,152,151
570,824,568
571,826,824
572,825,824
573,316,568
574,568,822
575,148,49
576,316,148
577,151,148
578,49,822
579,49,50
580,132,297
581,297,582
582,37,297
583,151,132
584,38,132
585,39,131
586,131,37
587,38,131
588,39,1218
589,39,133
590,128,583
591,583,151
592,583,50
593,38,128
594,128,127
595,126,298
596,298,38
597,133,298
598,127,126
599,126,1217
600,667,372
601,372,1211
602,372,644
603,54,667
604,667,668
605,380,379
606,644,380
607,380,668
608,379,789
609,379,60
610,378,53
611,53,54
612,53,1208
613,378,668
614,374,378
615,61,375
616,61,668
617,61,60
618,374,375
619,651,375
620,1168,1086
621,789,1086
622,1036,1086
623,1168,60
624,1167,1168
625,1199,1125
626,1036,1125
627,1125,1167
628,1197,1199
629,1169,1199
630,1039,650
631,60,650
632,650,651
633,1167,1039
634,1039,373
635,906,1170
636,1170,1167
637,1169,1170
638,373,906
639,1122,906
640,1192,1198
641,1198,1197
642,1198,1037
643,1192,1169
644,1192,1200
645,1153,1203
646,1203,1037
647,1203,1200
648,950,1153
649,1153,790
650,1166,1123
651,1169,1123
652,1122,1123
653,1166,1200
654,1166,792
655,1087,793
656,1200,1087
657,1087,790
658,793,792
659,538,793
660,988,1056
661,950,1056
662,1056,1179
663,790,988
664,988,989
665,1060,423
666,1179,1060
667,1060,989
668,423,1133
669,422,423
670,791,1154
671,791,790
672,791,538
673,989,1154
674,710,1154
675,419,209
676,209,989
677,422,209
678,419,710
679,419,712
680,718,717
681,1133,718
682,207,718
683,422,717
684,425,717
685,424,427
686,207,424
687,425,424
688,426,427
689,429,427
690,438,711
691,422,711
692,711,712
693,425,438
694,728,438
695,215,719
696,425,719
697,719,429
698,215,728
699,215,437
700,428,430
701,428,426
702,428,473
703,430,429
704,474,430
705,1135,475
706,475,473
707,474,475
708,1135,964
709,1135,1062
710,720,954
711,720,429
712,437,720
713,474,954
714,954,1063
715,955,726
716,474,955
717,1062,955
718,1063,726
719,435,726
720,962,460
721,964,460
722,457,460
723,962,1062
724,962,231
725,961,456
726,961,457
727,231,961
728,456,455
729,292,456
730,725,79
731,1062,725
732,725,435
733,79,231
734,453,79
735,230,454
736,230,231
737,292,230
738,454,453
739,454,81
740,562,291
741,562,455
742,809,562
743,292,291
744,995,291
745,810,563
746,810,809
747,810,995
748,563,739
749,290,563
750,82,808
751,292,82
752,82,81
753,808,995
754,135,808
755,293,40
756,293,995
757,290,293
758,40,135
759,40,313
760,289,741
761,739,741
762,741,740
763,289,290
764,289,561
765,444,965
766,965,740
767,965,561
768,451,444
769,444,295
770,288,560
771,290,288
772,313,288
773,560,561
774,560,150
775,314,287
776,287,561
777,287,295
778,150,314
779,314,582
780,294,996
781,451,996
782,813,996
783,294,295
784,294,35
785,296,36
786,813,296
787,296,35
788,1226,36
789,1219,36
790,129,811
791,295,811
792,811,582
793,129,35
794,37,129
795,34,130
796,35,34
797,34,1219
798,37,130
799,130,1218
800,59,1033
801,59,1212
802,59,58
803,1033,57
804,901,1033
805,903,376
806,58,903
807,903,901
808,376,657
809,376,658
810,902,15
811,15,57
812,15,1211
813,902,901
814,902,644
815,669,659
816,659,901
817,659,658
818,669,644
819,789,669
820,656,900
821,656,657
822,656,665
823,658,900
824,1119,900
825,1120,1115
826,1120,665
827,1120,1119
828,1115,1035
829,1117,1115
830,1121,660
831,658,660
832,660,789
833,1121,1119
834,1121,1036
835,1191,1165
836,1165,1119
837,1117,1165
838,1191,1036
839,1191,1197
840,1038,666
841,1035,666
842,666,614
843,1117,1038
844,536,1038
845,539,859
846,614,859
847,859,536
848,109,539
849,1057,539
850,1118,1116
851,1118,1117
852,1197,1118
853,536,1116
854,1116,1037
855,278,535
856,535,536
857,535,1057
858,1037,278
859,950,278
860,1059,795
861,109,795
862,795,540
863,1057,1059
864,1061,1059
865,541,1088
866,541,540
867,1061,541
868,174,1088
869,1088,990
870,1193,1058
871,1057,1058
872,1058,950
873,1193,1061
874,1193,1179
875,1134,991
876,991,1061
877,990,991
878,1134,1179
879,1134,1133
880,796,14
881,14,174
882,16,14
883,796,990
884,19,796
885,236,18
886,16,18
887,18,19
888,469,236
889,749,236
890,208,1132
891,1132,990
892,1133,1132
893,208,19
894,208,207
895,210,237
896,237,19
897,749,237
898,210,207
899,426,210
900,750,747
901,747,469
902,747,238
903,749,750
904,750,748
905,468,471
906,468,238
907,468,748
908,486,471
909,470,471
910,752,751
911,751,749
912,751,426
913,752,748
914,473,752
915,472,753
916,472,748
917,470,472
918,753,473
919,753,964
920,1144,1072
921,486,1144
922,509,1144
923,1072,470
924,735,1072
925,452,736
926,736,509
927,736,735
928,452,262
929,78,452
930,963,1068
931,963,470
932,963,964
933,735,1068
934,1068,457
935,229,737
936,229,735
937,229,78
938,737,457
939,737,455
940,263,462
941,262,263
942,966,263
943,462,78
944,462,738
945,1140,1069
946,1069,966
947,1069,738
948,742,1140
949,80,1140
950,459,458
951,459,78
952,455,459
953,738,458
954,809,458
955,461,233
956,233,738
957,233,80
958,809,461
959,739,461
960,75,447
961,742,447
962,447,446
963,75,80
964,75,218
965,448,221
966,448,446
967,448,218
968,732,221
969,227,221
970,219,232
971,232,80
972,232,739
973,218,219
974,740,219
975,445,220
976,220,218
977,220,227
978,740,445
979,445,451
980,228,731
981,731,732
982,731,225
983,227,228
984,450,228
985,21,226
986,226,225
987,226,450
988,1215,21
989,76,21
990,223,812
991,223,227
992,223,451
993,812,450
994,813,812
995,222,814
996,450,222
997,222,76
998,814,813
999,1226,814
1000,159,622
1001,328,622
1002,621,622
1003,596,159
1004,326,159
1005,664,327
1006,327,621
1007,327,326
1008,664,162
1009,664,663
1010,846,595
1011,596,595
1012,595,1212
1013,846,326
1014,846,58
1015,1111,1032
1016,1111,326
1017,1111,663
1018,1032,58
1019,1032,657
1020,181,904
1021,162,181
1022,344,181
1023,904,663
1024,1113,904
1025,661,1017
1026,344,661
1027,661,1113
1028,1016,1017
1029,1017,905
1030,377,1114
1031,377,663
1032,377,657
1033,1113,1114
1034,1114,665
1035,1034,1112
1036,1113,1112
1037,1112,905
1038,665,1034
1039,1034,1035
1040,346,1015
1041,1016,1015
1042,337,1015
1043,346,905
1044,346,347
1045,1010,857
1046,857,337
1047,347,857
1048,1010,616
1049,856,1010
1050,335,860
1051,335,905
1052,1035,335
1053,860,347
1054,860,614
1055,1092,334
1056,347,1092
1057,1092,856
1058,334,614
1059,109,334
1060,1009,855
1061,1009,616
1062,1009,370
1063,856,855
1064,177,855
1065,176,368
1066,370,176
1067,176,177
1068,368,1028
1069,888,368
1070,858,794
1071,858,856
1072,109,858
1073,177,794
1074,540,794
1075,645,279
1076,645,177
1077,888,645
1078,540,279
1079,174,279
1080,632,175
1081,1028,175
1082,175,367
1083,888,632
1084,632,361
1085,362,360
1086,360,367
1087,360,361
1088,362,366
1089,362,173
1090,363,635
1091,635,888
1092,174,635
1093,361,363
1094,16,363
1095,17,172
1096,172,361
1097,172,173
1098,17,16
1099,469,17
1100,633,634
1101,366,633
1102,364,633
1103,634,173
1104,634,271
1105,889,1143
1106,889,364
1107,271,889
1108,267,1143
1109,1143,484
1110,101,239
1111,239,173
1112,469,239
1113,101,271
1114,238,101
1115,483,365
1116,271,365
1117,365,484
1118,483,238
1119,483,486
1120,522,637
1121,522,267
1122,521,522
1123,484,637
1124,637,260
1125,248,520
1126,248,521
1127,260,248
1128,520,519
1129,511,520
1130,485,258
1131,485,484
1132,486,485
1133,258,260
1134,258,509
1135,510,259
1136,260,259
1137,259,511
1138,510,509
1139,510,262
1140,776,777
1141,777,519
1142,777,98
1143,511,776
1144,776,269
1145,99,778
1146,99,98
1147,269,99
1148,778,277
1149,778,512
1150,775,261
1151,511,261
1152,261,262
1153,775,269
1154,966,775
1155,1141,92
1156,269,92
1157,92,512
1158,1141,966
1159,742,1141
1160,779,534
1161,534,277
1162,515,534
1163,512,779
1164,959,779
1165,960,1139
1166,1139,515
1167,959,1139
1168,960,730
1169,960,443
1170,1070,1067
1171,512,1070
1172,1070,742
1173,959,1067
1174,1067,446
1175,1138,449
1176,959,1138
1177,443,1138
1178,446,449
1179,449,732
1180,217,72
1181,72,730
1182,71,72
1183,443,217
1184,217,69
1185,73,27
1186,71,73
1187,69,73
1188,28,27
1189,20,27
1190,70,442
1191,442,443
1192,442,732
1193,70,69
1194,70,225
1195,74,224
1196,69,74
1197,74,20
1198,225,224
1199,1215,224
1200,352,620
1201,352,1227
1202,1019,352
1203,620,348
1204,620,1018
1205,624,1020
1206,1020,1019
1207,1018,1020
1208,862,624
1209,624,166
1210,597,11
1211,348,11
1212,328,11
1213,1018,597
1214,621,597
1215,623,868
1216,868,1018
1217,166,868
1218,623,621
1219,162,623
1220,1014,167
1221,1014,862
1222,863,1014
1223,166,167
1224,165,167
1225,866,349
1226,863,349
1227,165,349
1228,866,343
1229,864,866
1230,345,163
1231,166,163
1232,163,162
1233,165,345
1234,344,345
1235,350,662
1236,350,165
1237,864,350
1238,344,662
1239,1016,662
1240,605,867
1241,605,343
1242,605,164
1243,867,864
1244,867,1005
1245,849,606
1246,849,164
1247,1005,849
1248,606,607
1249,606,339
1250,336,865
1251,865,864
1252,1016,865
1253,336,1005
1254,337,336
1255,615,608
1256,608,1005
1257,608,339
1258,337,615
1259,616,615
1260,617,850
1261,607,850
1262,612,850
1263,617,339
1264,1008,617
1265,609,1007
1266,1007,612
1267,1007,1008
1268,609,333
1269,609,643
1270,1011,861
1271,1011,339
1272,1011,616
1273,1008,861
1274,370,861
1275,369,371
1276,1008,371
1277,371,643
1278,369,370
1279,1028,369
1280,1106,1029
1281,1029,333
1282,1029,893
1283,1106,643
1284,1106,639
1285,1201,1164
1286,893,1164
1287,639,1164
1288,1188,1201
1289,1201,891
1290,890,638
1291,890,643
1292,890,1028
1293,639,638
1294,367,638
1295,892,640
1296,892,639
1297,891,892
1298,640,367
1299,640,366
1300,1202,1162
1301,1202,1188
1302,1190,1202
1303,891,1162
1304,1162,1104
1305,171,1105
1306,1105,1190
1307,1105,1104
1308,482,171
1309,171,250
1310,642,1027
1311,891,642
1312,642,366
1313,1027,1104
1314,1027,364
1315,631,636
1316,1104,631
1317,631,250
1318,364,636
1319,267,636
1320,249,90
1321,482,249
1322,89,249
1323,90,250
1324,90,97
1325,784,986
1326,784,89
1327,97,784
1328,241,986
1329,524,986
1330,96,251
1331,251,250
1332,267,251
1333,97,96
1334,521,96
1335,23,783
1336,97,783
1337,783,524
1338,23,521
1339,23,519
1340,756,758
1341,241,756
1342,476,756
1343,758,524
1344,758,478
1345,477,270
1346,476,477
1347,477,478
1348,270,755
1349,274,270
1350,782,523
1351,524,782
1352,782,519
1353,523,478
1354,523,98
1355,268,100
1356,478,100
1357,100,274
1358,98,268
1359,268,277
1360,780,275
1361,780,755
1362,780,264
1363,274,275
1364,781,275
1365,94,265
1366,265,264
1367,781,265
1368,95,94
1369,266,94
1370,276,514
1371,274,276
1372,277,276
1373,781,514
1374,515,514
1375,729,518
1376,518,781
1377,266,518
1378,729,515
1379,730,729
1380,516,508
1381,508,95
1382,987,508
1383,266,516
1384,516,532
1385,786,1083
1386,987,786
1387,786,532
1388,1232,1083
1389,1083,1084
1390,107,517
1391,517,266
1392,517,730
1393,532,107
1394,71,107
1395,785,533
1396,533,532
1397,533,1084
1398,71,785
1399,785,28
1400,1096,626
1401,1235,1096
1402,1096,1095
1403,626,1236
1404,626,354
1405,161,625
1406,1095,625
1407,625,354
1408,160,161
1409,161,340
1410,351,168
1411,168,1236
1412,168,1227
1413,351,354
1414,1019,351
1415,353,1021
1416,353,354
1417,353,340
1418,1021,1019
1419,1021,862
1420,341,392
1421,160,392
1422,683,392
1423,340,341
1424,1097,341
1425,872,684
1426,683,684
1427,1097,684
1428,872,189
1429,186,872
1430,619,1098
1431,619,340
1432,619,862
1433,1097,1098
1434,863,1098
1435,342,604
1436,1097,604
1437,186,604
1438,342,863
1439,343,342
1440,187,629
1441,189,629
1442,871,629
1443,186,187
1444,602,187
1445,870,851
1446,870,871
1447,870,602
1448,851,169
1449,851,852
1450,601,603
1451,186,603
1452,343,603
1453,602,601
1454,164,601
1455,853,338
1456,602,853
1457,852,853
1458,338,164
1459,607,338
1460,627,611
1461,169,627
1462,628,627
1463,852,611
1464,611,610
1465,876,873
1466,873,628
1467,873,610
1468,359,876
1469,876,330
1470,854,613
1471,852,854
1472,854,607
1473,613,610
1474,613,612
1475,332,1006
1476,610,1006
1477,330,1006
1478,332,612
1479,333,332
1480,875,331
1481,359,875
1482,875,878
1483,331,330
1484,331,895
1485,641,896
1486,878,641
1487,641,895
1488,880,896
1489,1108,896
1490,1107,1030
1491,1030,330
1492,333,1030
1493,895,1107
1494,893,1107
1495,1031,894
1496,895,1031
1497,1108,1031
1498,894,893
1499,1188,894
1500,1109,1102
1501,880,1102
1502,1102,1101
1503,1108,1109
1504,1109,1163
1505,1110,971
1506,1101,1110
1507,1163,1110
1508,971,1142
1509,88,971
1510,1195,1204
1511,1108,1195
1512,1188,1195
1513,1163,1204
1514,1204,1190
1515,1189,1196
1516,1189,1163
1517,1189,88
1518,1190,1196
1519,1196,482
1520,247,970
1521,970,1142
1522,970,886
1523,247,88
1524,246,247
1525,481,242
1526,886,481
1527,246,481
1528,242,87
1529,243,242
1530,170,22
1531,88,170
1532,482,170
1533,246,22
1534,22,89
1535,240,86
1536,86,246
1537,86,243
1538,240,89
1539,241,240
1540,761,480
1541,480,87
1542,480,762
1543,243,761
1544,760,761
1545,1073,972
1546,972,762
1547,972,760
1548,1073,488
1549,93,1073
1550,759,757
1551,759,243
1552,241,759
1553,760,757
1554,476,757
1555,479,754
1556,760,479
1557,479,93
1558,754,476
1559,755,754
1560,487,974
1561,487,488
1562,487,253
1563,974,93
1564,974,979
1565,975,1145
1566,975,253
1567,975,979
1568,1145,1146
1569,976,1145
1570,513,978
1571,513,93
1572,755,513
1573,978,979
1574,978,264
1575,1075,3
1576,979,1075
1577,1075,976
1578,264,3
1579,3,95
1580,764,1151
1581,1151,1146
1582,1182,1151
1583,976,764
1584,764,788
1585,506,985
1586,1182,985
1587,788,985
1588,506,1230
1589,774,506
1590,787,977
1591,977,976
1592,977,95
1593,788,787
1594,987,787
1595,1085,773
1596,773,788
1597,773,774
1598,1085,987
1599,1232,1085
1600,394,1161
1601,394,1234
1602,394,847
1603,1161,1093
1604,1094,1161
1605,1003,1171
1606,1003,847
1607,1003,1094
1608,1126,1171
1609,1171,1172
1610,1012,1013
1611,1093,1012
1612,1012,1235
1613,1013,1094
1614,1013,1095
1615,1002,618
1616,1002,1094
1617,1172,1002
1618,618,1095
1619,618,160
1620,1184,1173
1621,1126,1184
1622,1184,1194
1623,1172,1173
1624,1173,908
1625,1187,1004
1626,1187,1194
1627,1187,908
1628,1004,1186
1629,1041,1004
1630,393,670
1631,1172,393
1632,160,393
1633,670,908
1634,670,683
1635,907,188
1636,907,908
1637,907,1041
1638,188,683
1639,188,189
1640,1040,381
1641,1186,381
1642,673,381
1643,1040,1041
1644,1040,630
1645,386,675
1646,673,675
1647,630,675
1648,386,917
1649,386,1023
1650,1022,395
1651,1041,395
1652,189,395
1653,1022,630
1654,1022,871
1655,869,1100
1656,630,1100
1657,1023,1100
1658,871,869
1659,869,169
1660,64,385
1661,385,917
1662,678,385
1663,64,1023
1664,64,357
1665,402,677
1666,678,677
1667,677,357
1668,1129,402
1669,195,402
1670,355,1099
1671,1099,1023
1672,169,1099
1673,357,355
1674,628,355
1675,356,874
1676,357,356
1677,195,356
1678,628,874
1679,359,874
1680,1049,1130
1681,1130,1129
1682,1130,1050
1683,1049,195
1684,401,1049
1685,682,1051
1686,1050,1051
1687,1051,401
1688,929,682
1689,924,682
1690,358,877
1691,195,358
1692,358,359
1693,877,401
1694,877,878
1695,400,879
1696,400,401
1697,400,924
1698,879,878
1699,880,879
1700,922,1046
1701,929,922
1702,1024,922
1703,1046,924
1704,1045,1046
1705,1103,1025
1706,1025,1024
1707,1025,1045
1708,883,1103
1709,1103,881
1710,925,923
1711,925,924
1712,880,925
1713,1045,923
1714,923,1101
1715,882,1181
1716,1045,882
1717,882,881
1718,1181,1101
1719,1181,1142
1720,884,397
1721,397,883
1722,397,396
1723,884,881
1724,885,884
1725,531,692
1726,692,396
1727,885,692
1728,531,530
1729,531,244
1730,1071,887
1731,881,1071
1732,1142,1071
1733,885,887
1734,887,886
1735,66,245
1736,66,885
1737,244,66
1738,245,886
1739,87,245
1740,690,527
1741,527,530
1742,527,528
1743,690,244
1744,928,690
1745,766,1047
1746,1047,528
1747,928,1047
1748,77,766
1749,766,765
1750,1074,973
1751,244,1074
1752,87,1074
1753,928,973
1754,973,762
1755,763,491
1756,928,491
1757,765,491
1758,763,762
1759,763,488
1760,490,255
1761,255,77
1762,255,769
1763,490,765
1764,489,490
1765,768,981
1766,769,768
1767,489,768
1768,504,981
1769,981,980
1770,254,252
1771,765,252
1772,488,252
1773,489,254
1774,253,254
1775,1076,1147
1776,489,1076
1777,1076,980
1778,253,1147
1779,1147,1146
1780,1077,772
1781,1077,504
1782,1078,1077
1783,772,980
1784,507,772
1785,1080,1149
1786,1149,1078
1787,1149,507
1788,1081,1080
1789,1079,1080
1790,1082,1152
1791,1152,980
1792,1146,1152
1793,507,1082
1794,1082,1182
1795,505,1150
1796,507,505
1797,505,1079
1798,1182,1150
1799,1230,1150
1800,56,12
1801,-1,12
1802,599,12
1803,56,13
1804,56,329
1805,594,600
1806,600,599
1807,329,600
1808,594,912
1809,1091,594
1810,848,55
1811,55,13
1812,55,1234
1813,848,329
1814,847,848
1815,598,1127
1816,329,598
1817,598,1091
1818,847,1127
1819,1127,1126
1820,913,911
1821,912,911
1822,911,910
1823,913,1091
1824,913,915
1825,914,1174
1826,910,914
1827,915,914
1828,1174,909
1829,671,1174
1830,916,1160
1831,1160,1091
1832,1126,1160
1833,916,915
1834,1194,916
1835,1185,1042
1836,915,1042
1837,671,1042
1838,1185,1194
1839,1185,1186
1840,672,62
1841,62,909
1842,1214,62
1843,672,671
1844,672,383
1845,382,384
1846,1214,382
1847,383,382
1848,1213,384
1849,384,183
1850,63,674
1851,671,63
1852,63,1186
1853,674,383
1854,673,674
1855,1043,1128
1856,1128,383
1857,183,1128
1858,1043,673
1859,917,1043
1860,918,676
1861,676,1213
1862,676,1224
1863,918,183
1864,185,918
1865,194,192
1866,1224,192
1867,185,192
1868,1225,194
1869,193,194
1870,1044,184
1871,183,184
1872,917,184
1873,1044,185
1874,678,1044
1875,67,919
1876,67,185
1877,193,67
1878,919,678
1879,1129,919
1880,679,389
1881,1225,389
1882,389,388
1883,193,679
1884,679,391
1885,927,390
1886,388,390
1887,391,390
1888,927,1223
1889,689,927
1890,399,398
1891,193,399
1892,399,1129
1893,398,391
1894,398,1050
1895,930,931
1896,391,930
1897,689,930
1898,1050,931
1899,929,931
1900,387,926
1901,387,1223
1902,387,920
1903,689,926
1904,926,681
1905,921,686
1906,921,920
1907,921,681
1908,1231,686
1909,685,686
1910,680,1048
1911,689,1048
1912,929,1048
1913,680,681
1914,680,1024
1915,1026,688
1916,688,681
1917,688,685
1918,1026,1024
1919,883,1026
1920,65,190
1921,190,1231
1922,190,191
1923,685,65
1924,65,103
1925,272,102
1926,191,102
1927,103,102
1928,26,272
1929,272,104
1930,687,525
1931,685,687
1932,883,687
1933,525,103
1934,396,525
1935,691,526
1936,526,103
1937,526,104
1938,691,396
1939,691,530
1940,105,24
1941,24,26
1942,24,25
1943,104,105
1944,105,106
1945,4,497
1946,25,4
1947,4,106
1948,497,257
1949,495,497
1950,273,529
1951,273,104
1952,273,530
1953,529,106
1954,528,529
1955,734,733
1956,106,734
1957,495,734
1958,733,528
1959,733,77
1960,256,498
1961,257,256
1962,1228,256
1963,498,495
1964,494,498
1965,493,767
1966,493,1228
1967,494,493
1968,767,492
1969,499,767
1970,502,496
1971,496,495
1972,77,496
1973,502,494
1974,502,769
1975,501,770
1976,501,494
1977,501,499
1978,770,769
1979,770,504
1980,500,108
1981,108,492
1982,108,2
1983,500,499
1984,982,500
1985,91,1
1986,2,91
1987,982,91
1988,-1,1
1989,1,771
1990,1148,503
1991,499,503
1992,503,504
1993,982,1148
1994,1148,1078
1995,983,984
1996,982,983
1997,983,771
1998,984,1078
1999,1081,984
