,start,stop
0,119,115
1,113,119
2,117,119
3,114,115
4,116,115
5,842,593
6,117,593
7,116,593
8,842,591
9,588,842
10,281,0
11,114,0
12,0,-1
13,116,281
14,281,120
15,121,841
16,841,116
17,841,588
18,120,121
19,1229,121
20,839,589
21,591,839
22,839,837
23,589,588
24,840,589
25,1090,1159
26,837,1090
27,1090,840
28,1159,705
29,1159,701
30,546,548
31,548,588
32,548,1229
33,840,546
34,547,546
35,411,196
36,840,196
37,701,196
38,411,547
39,412,411
40,938,409
41,705,938
42,410,938
43,409,701
44,414,409
45,703,1053
46,703,410
47,703,414
48,1053,932
49,935,1053
50,934,700
51,701,934
52,934,412
53,414,700
54,198,700
55,197,937
56,414,937
57,937,935
58,198,197
59,413,197
60,1052,936
61,1052,932
62,1052,406
63,935,936
64,994,936
65,1183,1155
66,1155,406
67,1155,994
68,944,1183
69,559,1183
70,802,702
71,935,702
72,702,413
73,994,802
74,802,803
75,804,1089
76,994,1089
77,1089,559
78,803,804
79,1216,804
80,283,123
81,123,944
82,123,552
83,559,283
84,550,283
85,553,549
86,552,553
87,550,553
88,801,549
89,549,33
90,558,551
91,558,559
92,1216,558
93,550,551
94,551,124
95,125,282
96,550,282
97,282,33
98,124,125
99,1205,125
100,992,122
101,801,992
102,992,29
103,33,122
104,122,7
105,31,306
106,29,31
107,31,7
108,146,306
109,305,306
110,32,6
111,33,32
112,32,1205
113,7,6
114,6,1206
115,5,143
116,7,143
117,143,305
118,5,1206
119,1233,5
120,828,574
121,146,574
122,574,311
123,305,828
124,828,829
125,832,312
126,832,311
127,829,832
128,575,312
129,579,312
130,1000,999
131,999,305
132,1233,999
133,1000,829
134,1000,827
135,580,141
136,829,580
137,580,579
138,827,141
139,142,141
140,833,576
141,575,576
142,302,576
143,579,833
144,571,833
145,310,569
146,569,302
147,569,571
148,818,310
149,310,144
150,572,578
151,578,579
152,142,578
153,572,571
154,1207,572
155,46,145
156,571,145
157,145,144
158,46,1207
159,46,1220
160,815,573
161,818,815
162,815,565
163,573,144
164,309,573
165,48,567
166,565,567
167,567,309
168,323,48
169,48,157
170,308,307
171,307,144
172,307,1220
173,308,309
174,1221,308
175,570,830
176,309,570
177,570,157
178,830,1221
179,1209,830
180,322,320
181,322,323
182,318,322
183,320,157
184,320,154
185,155,319
186,318,319
187,154,319
188,1210,155
189,47,155
190,9,45
191,9,157
192,1209,9
193,45,154
194,44,45
195,8,153
196,154,153
197,153,47
198,44,8
199,-1,8
200,110,586
201,1222,110
202,110,544
203,586,112
204,586,545
205,797,543
206,543,544
207,545,543
208,797,648
209,844,797
210,118,111
211,111,112
212,111,113
213,118,545
214,118,117
215,51,592
216,51,545
217,844,51
218,592,117
219,592,591
220,843,280
221,648,280
222,200,280
223,844,843
224,843,590
225,942,199
226,199,200
227,590,199
228,942,416
229,942,941
230,845,587
231,844,845
232,591,845
233,590,587
234,837,587
235,838,1054
236,590,1054
237,1054,941
238,837,838
239,705,838
240,709,706
241,709,416
242,709,421
243,941,706
244,940,706
245,697,1175
246,1175,421
247,940,1175
248,949,697
249,407,697
250,704,939
251,704,941
252,705,704
253,939,940
254,410,939
255,696,933
256,940,696
257,696,407
258,933,410
259,932,933
260,698,1131
261,949,1131
262,403,1131
263,407,698
264,699,698
265,807,1177
266,403,807
267,699,807
268,945,1177
269,1177,1055
270,405,408
271,407,408
272,932,408
273,699,405
274,405,406
275,806,805
276,699,806
277,806,1055
278,805,406
279,944,805
280,1176,1178
281,945,1178
282,439,1178
283,1055,1176
284,800,1176
285,557,946
286,946,439
287,946,800
288,557,1064
289,556,557
290,554,943
291,1055,943
292,944,943
293,554,800
294,552,554
295,555,799
296,800,799
297,556,799
298,555,552
299,555,801
300,798,953
301,1064,953
302,953,951
303,556,798
304,798,211
305,83,433
306,433,951
307,211,433
308,83,234
309,431,83
310,68,993
311,556,993
312,993,801
313,68,211
314,68,29
315,30,721
316,721,211
317,431,721
318,29,30
319,146,30
320,744,432
321,234,744
322,744,743
323,432,431
324,1001,432
325,968,969
326,968,743
327,1001,968
328,467,969
329,84,969
330,831,212
331,431,212
332,146,212
333,831,1001
334,831,311
335,577,1158
336,1158,1001
337,84,1158
338,577,311
339,575,577
340,134,43
341,134,467
342,139,134
343,43,84
344,304,43
345,821,140
