pentagon index	x	y	z	x_c	y_c	z_c
0	28.38477631085024	14.19238815542512	0.0	18.28954064604357	0.0	1
0	28.38477631085024	-14.19238815542512	0.0	18.28954064604357	0.0	1
0	0.0	0.0	0.0	18.28954064604357	0.0	1
0	14.19238815542512	28.38477631085024	0.0	18.28954064604357	0.0	1
0	14.19238815542512	-28.38477631085024	0.0	18.28954064604357	0.0	1
1	0.0	0.0	0.0	-18.28954064604357	0.0	1
1	-14.19238815542512	28.38477631085024	0.0	-18.28954064604357	0.0	1
1	-14.19238815542512	-28.38477631085024	0.0	-18.28954064604357	0.0	1
1	14.19238815542512	28.38477631085024	0.0	-18.28954064604357	0.0	1
1	14.19238815542512	-28.38477631085024	0.0	-18.28954064604357	0.0	1
2	85.15432893255071	-70.96194077712559	0.0	75.05909326774405	-56.76955262170048	1
2	85.15432893255071	-42.577164466275356	0.0	75.05909326774405	-56.76955262170048	1
2	56.76955262170048	-56.76955262170048	0.0	75.05909326774405	-56.76955262170048	1
2	70.96194077712559	-85.15432893255071	0.0	75.05909326774405	-56.76955262170048	1
2	70.96194077712559	-28.38477631085024	0.0	75.05909326774405	-56.76955262170048	1
3	28.38477631085024	-70.96194077712559	0.0	38.48001197565691	-56.76955262170048	1
3	28.38477631085024	-42.577164466275356	0.0	38.48001197565691	-56.76955262170048	1
3	56.76955262170048	-56.76955262170048	0.0	38.48001197565691	-56.76955262170048	1
3	42.577164466275356	-28.38477631085024	0.0	38.48001197565691	-56.76955262170048	1
3	42.577164466275356	-85.15432893255071	0.0	38.48001197565691	-56.76955262170048	1
4	141.92388155425118	14.19238815542512	0.0	131.82864588944452	0.0	1
4	141.92388155425118	-14.19238815542512	0.0	131.82864588944452	0.0	1
4	113.53910524340095	0.0	0.0	131.82864588944452	0.0	1
4	127.73149339882607	28.38477631085024	0.0	131.82864588944452	0.0	1
4	127.73149339882607	-28.38477631085024	0.0	131.82864588944452	0.0	1
5	85.15432893255071	14.19238815542512	0.0	95.24956459735739	0.0	1
5	85.15432893255071	-14.19238815542512	0.0	95.24956459735739	0.0	1
5	113.53910524340095	0.0	0.0	95.24956459735739	0.0	1
5	99.34671708797583	28.38477631085024	0.0	95.24956459735739	0.0	1
5	99.34671708797583	-28.38477631085024	0.0	95.24956459735739	0.0	1
6	198.69343417595167	-70.96194077712559	0.0	188.598198511145	-56.76955262170048	1
6	198.69343417595167	-42.577164466275356	0.0	188.598198511145	-56.76955262170048	1
6	170.30865786510142	-56.76955262170048	0.0	188.598198511145	-56.76955262170048	1
