pentagon index	x	y	z	x_c	y_c	z_c
0	30.367016042075164	12.031183212508836	0.0	18.28954064604357	0.0	1
0	30.367016042075164	-12.031183212508836	0.0	18.28954064604357	0.0	1
0	0.0	0.0	0.0	18.28954064604357	0.0	1
0	12.031183212508836	20.19482195725375	0.0	18.28954064604357	0.0	1
0	12.031183212508836	-20.19482195725375	0.0	18.28954064604357	0.0	1
1	0.0	0.0	0.0	-18.28954064604357	0.0	1
1	-12.031183212508836	20.19482195725375	0.0	-18.28954064604357	0.0	1
1	-12.031183212508836	-20.19482195725375	0.0	-18.28954064604357	0.0	1
1	12.031183212508836	20.19482195725375	0.0	-18.28954064604357	0.0	1
1	12.031183212508836	-20.19482195725375	0.0	-18.28954064604357	0.0	1
2	80.92885404140408	-62.59302121183775	0.0	68.85137864537248	-50.561837999328915	1
2	80.92885404140408	-38.53065478682007	0.0	68.85137864537248	-50.561837999328915	1
2	50.561837999328915	-50.561837999328915	0.0	68.85137864537248	-50.561837999328915	1
2	62.59302121183775	-30.367016042075164	0.0	68.85137864537248	-50.561837999328915	1
2	62.59302121183775	-70.75665995658267	0.0	68.85137864537248	-50.561837999328915	1
3	20.19482195725375	-62.59302121183775	0.0	32.272297353285346	-50.561837999328915	1
3	20.19482195725375	-38.53065478682007	0.0	32.272297353285346	-50.561837999328915	1
3	50.561837999328915	-50.561837999328915	0.0	32.272297353285346	-50.561837999328915	1
3	38.53065478682007	-30.367016042075164	0.0	32.272297353285346	-50.561837999328915	1
3	38.53065478682007	-70.75665995658267	0.0	32.272297353285346	-50.561837999328915	1
4	131.490692040733	12.031183212508836	0.0	119.41321664470141	0.0	1
4	131.490692040733	-12.031183212508836	0.0	119.41321664470141	0.0	1
4	101.12367599865783	0.0	0.0	119.41321664470141	0.0	1
4	113.15485921116667	20.19482195725375	0.0	119.41321664470141	0.0	1
4	113.15485921116667	-20.19482195725375	0.0	119.41321664470141	0.0	1
5	70.75665995658267	12.031183212508836	0.0	82.83413535261425	0.0	1
5	70.75665995658267	-12.031183212508836	0.0	82.83413535261425	0.0	1
5	101.12367599865783	0.0	0.0	82.83413535261425	0.0	1
