pentagon index	x	y	z	x_c	y_c	z_c
0	30.305867762873657	10.865524559326222	0.0	18.28954064604357	0.0	1
0	30.305867762873657	-10.865524559326222	0.0	18.28954064604357	0.0	1
0	10.865524559326222	16.046113529213482	0.0	18.28954064604357	0.0	1
0	10.865524559326222	-16.046113529213482	0.0	18.28954064604357	0.0	1
0	0.0	0.0	0.0	18.28954064604357	0.0	1
1	-10.865524559326222	16.046113529213482	0.0	-18.28954064604357	0.0	1
1	-10.865524559326222	-16.046113529213482	0.0	-18.28954064604357	0.0	1
1	0.0	0.0	0.0	-18.28954064604357	0.0	1
1	10.865524559326222	16.046113529213482	0.0	-18.28954064604357	0.0	1
1	10.865524559326222	-16.046113529213482	0.0	-18.28954064604357	0.0	1
2	76.65784905496079	-35.48645673276092	0.0	64.64152193813071	-46.35198129208714	1
2	76.65784905496079	-57.217505851413364	0.0	64.64152193813071	-46.35198129208714	1
2	57.217505851413364	-30.305867762873657	0.0	64.64152193813071	-46.35198129208714	1
2	57.217505851413364	-62.398094821300624	0.0	64.64152193813071	-46.35198129208714	1
2	46.35198129208714	-46.35198129208714	0.0	64.64152193813071	-46.35198129208714	1
3	16.046113529213482	-35.48645673276092	0.0	28.06244064604357	-46.35198129208714	1
3	16.046113529213486	-57.217505851413364	0.0	28.06244064604357	-46.35198129208714	1
3	35.48645673276092	-30.305867762873657	0.0	28.06244064604357	-46.35198129208714	1
3	35.48645673276092	-62.398094821300624	0.0	28.06244064604357	-46.35198129208714	1
3	46.35198129208714	-46.35198129208714	0.0	28.06244064604357	-46.35198129208714	1
4	123.00983034704794	10.865524559326222	0.0	110.99350323021784	0.0	1
4	123.00983034704794	-10.865524559326222	0.0	110.99350323021784	0.0	1
4	103.5694871435005	16.046113529213482	0.0	110.99350323021784	0.0	1
4	103.5694871435005	-16.046113529213482	0.0	110.99350323021784	0.0	1
4	92.70396258417428	0.0	0.0	110.99350323021784	0.0	1
5	62.398094821300624	10.865524559326222	0.0	74.41442193813072	0.0	1
