,start,stop
0,21,39
1,21,9
2,21,7
3,6,39
4,40,39
5,8,44
6,7,8
7,40,8
8,43,44
9,23,44
10,5,45
11,5,6
12,5,-1
13,40,45
14,45,30
15,34,16
16,40,34
17,23,34
18,16,30
19,52,16
20,15,22
21,22,43
22,22,38
23,15,23
24,15,11
25,37,13
26,38,37
27,11,37
28,13,50
29,3,13
30,10,29
31,23,29
32,29,52
33,10,11
34,28,10
35,14,47
36,47,11
37,47,3
38,14,28
39,-1,14
40,41,31
41,-1,31
42,51,31
43,41,17
44,19,41
45,25,18
46,18,51
47,19,18
48,27,25
49,32,25
50,0,20
51,17,0
52,0,9
53,20,19
54,20,7
55,42,48
56,19,48
57,48,32
58,42,7
59,43,42
60,12,26
61,26,27
62,26,46
63,32,12
64,12,2
65,35,4
66,46,35
67,2,35
68,-1,4
69,49,4
70,33,24
71,33,32
72,43,33
73,2,24
74,24,38
75,36,1
76,2,1
77,49,1
78,38,36
79,50,36
