frame	Chi	count	err	time(s)	field(mT)
0	-1.0	0.03431578947368421	0.0017367444558039256	0.0	0.0
0	-0.6	0.16194736842105262	0.003063206247934292	0.0	0.0
0	-0.2	0.33002631578947367	0.005676996705446093	0.0	0.0
0	0.2	0.3276578947368421	0.005346738346380424	0.0	0.0
0	0.6	0.16663157894736844	0.002903219677046132	0.0	0.0
0	1.0	0.03205263157894737	0.0017787954606265613	0.0	0.0
5000	-1.0	0.034342105263157896	0.0018209813847719328	50.0	0.625
5000	-0.6	0.1618421052631579	0.00318552182922028	50.0	0.625
5000	-0.2	0.33026315789473687	0.005739704052631339	50.0	0.625
5000	0.2	0.32734210526315793	0.005387422670035193	50.0	0.625
5000	0.6	0.16673684210526316	0.0027664677634179776	50.0	0.625
5000	1.0	0.032105263157894734	0.0018146644189694988	50.0	0.625
10000	-1.0	0.033999999999999996	0.0018347251272632708	100.0	1.25
10000	-0.6	0.16152631578947368	0.0031750340471790586	100.0	1.25
10000	-0.2	0.3308421052631579	0.005496415454466451	100.0	1.25
10000	0.2	0.3281578947368421	0.004892998316849308	100.0	1.25
10000	0.6	0.16644736842105262	0.002788361349265289	100.0	1.25
10000	1.0	0.03165789473684211	0.0018785898982090874	100.0	1.25
15000	-1.0	0.033999999999999996	0.0018385726446525745	150.0	1.875
15000	-0.6	0.162	0.003230283803347127	150.0	1.875
15000	-0.2	0.3305	0.005695637606927677	150.0	1.875
15000	0.2	0.3276052631578948	0.005167969784793105	150.0	1.875
15000	0.6	0.16657894736842105	0.0029156553033069534	150.0	1.875
15000	1.0	0.031947368421052634	0.0018627810065018863	150.0	1.875
20000	-1.0	0.03365789473684211	0.0016814432488712267	200.0	2.5
20000	-0.6	0.1624736842105263	0.0030265376092059085	200.0	2.5
20000	-0.2	0.3304736842105263	0.0057571355416050265	200.0	2.5
20000	0.2	0.3280789473684211	0.005283667075927018	200.0	2.5
20000	0.6	0.16555263157894737	0.002793981826199911	200.0	2.5
