theta	type	coordination	number	fraction	err	time
0.5235987755982988	Q = +1	3	184.84	0.44009523809523804	0.0020491440069185705	2500
0.5235987755982988	Q = +2	4	23.64	0.10506666666666668	0.0022022137788690645	2500
0.5235987755982988	Q = +3	3	2.48	0.005904761904761905	0.0005101587281429299	2500
0.5235987755982988	Q = +4	4	1.44	0.006399999999999998	0.0008342383596524109	2500
0.5235987755982988	Q = -1	3	232.56	0.5537142857142858	0.0018681614768103916	2500
0.5235987755982988	Q = -2	4	5.42	0.024088888888888885	0.001675468820120436	2500
0.5235987755982988	Q = -3	3	0.12	0.00028571428571428574	0.00011053113475695184	2500
0.5235987755982988	Q = 0	4	194.5	0.8644444444444445	0.002750752891737706	2500
0.4924321818126858	Q = +1	3	210.2	0.46711111111111103	0.002229466649660884	2500
0.4924321818126858	Q = +2	4	14.66	0.06515555555555555	0.0021832777972661368	2500
0.4924321818126858	Q = +3	3	3.0	0.006666666666666662	0.0005607467216716093	2500
0.4924321818126858	Q = +4	4	0.62	0.0027555555555555554	0.0005519063825295423	2500
0.4924321818126858	Q = -1	3	236.76	0.5261333333333333	0.0020053443334479	2500
0.4924321818126858	Q = -2	4	7.96	0.03537777777777777	0.0015498307354811281	2500
0.4924321818126858	Q = -3	3	0.04	8.888888888888889e-05	6.220926330877913e-05	2500
0.4924321818126858	Q = -4	4	0.02	8.888888888888889e-05	8.888888888888889e-05	2500
0.4924321818126858	Q = 0	4	201.74	0.8966222222222221	0.002558060489782789	2500
0.4612655880270728	Q = +1	3	219.86	0.488577777777778	0.0020267895893024044	2500
0.4612655880270728	Q = +2	4	5.96	0.026488888888888874	0.0018833077477041177	2500
0.4612655880270728	Q = +3	3	5.34	0.011866666666666663	0.0007059049789130405	2500
0.4612655880270728	Q = +4	4	0.02	8.888888888888889e-05	8.888888888888887e-05	2500
0.4612655880270728	Q = -1	3	224.78	0.49951111111111124	0.0016897598899739197	2500
0.4612655880270728	Q = -2	4	11.36	0.050488888888888896	0.0019121971285415685	2500
0.4612655880270728	Q = -3	3	0.02	4.4444444444444447e-05	4.4444444444444426e-05	2500
0.4612655880270728	Q = -4	4	0.02	8.888888888888889e-05	8.888888888888889e-05	2500
0.4612655880270728	Q = 0	4	207.64	0.9228444444444445	0.002557902895139387	2500
0.43009899424145975	Q = +1	3	225.48	0.5010666666666668	0.0019705465398997327	2500
0.43009899424145975	Q = +2	4	1.98	0.008799999999999995	0.0007348640658402685	2500
0.43009899424145975	Q = +3	3	7.5	0.016666666666666666	0.0008211122004049246	2500
0.43009899424145975	Q = -1	3	217.0	0.4822222222222222	0.0015038373691843836	2500
0.43009899424145975	Q = -2	4	17.82	0.07919999999999999	0.0024711058907920525	2500
0.43009899424145975	Q = -3	3	0.02	4.4444444444444447e-05	4.444444444444443e-05	2500
0.43009899424145975	Q = -4	4	0.12	0.0005333333333333334	0.00020632478487964343	2500
0.43009899424145975	Q = 0	4	205.08	0.9114666666666666	0.0026842654353073374	2500
0.3989324004558467	Q = +1	3	221.9	0.5283333333333334	0.0023704823243572665	2500
0.3989324004558467	Q = +2	4	0.76	0.0033777777777777777	0.0005470643613596956	2500
0.3989324004558467	Q = +3	3	10.76	0.025619047619047607	0.0011774014768065272	2500
0.3989324004558467	Q = -1	3	187.24	0.44580952380952366	0.001779870580844955	2500
0.3989324004558467	Q = -2	4	36.32	0.16142222222222227	0.0032683060041957877	2500
0.3989324004558467	Q = -3	3	0.1	0.00023809523809523812	0.00010204081632653063	2500
0.3989324004558467	Q = -4	4	0.18	0.0008	0.00024392854237839418	2500
0.3989324004558467	Q = 0	4	187.74	0.8344000000000001	0.003298680038664018	2500
0.36776580667023373	Q = +1	3	248.6	0.571494252873563	0.0023425358949263706	2500
0.36776580667023373	Q = +2	4	0.42	0.0018666666666666666	0.00040336203617190075	2500
0.36776580667023373	Q = +3	3	16.86	0.03875862068965518	0.0009563588292887658	2500
0.36776580667023373	Q = -1	3	169.5	0.3896551724137932	0.0018834089929641602	2500
0.36776580667023373	Q = -2	4	67.42	0.29964444444444444	0.0034685267409351934	2500
0.36776580667023373	Q = -3	3	0.04	9.195402298850575e-05	6.435441031942668e-05	2500
0.36776580667023373	Q = -4	4	0.36	0.0016	0.00041653890709477396	2500
0.36776580667023373	Q = 0	4	156.8	0.6968888888888891	0.003486864817205329	2500
0.3365992128846207	Q = +1	3	252.0	0.6000000000000001	0.002933069542491169	2500
0.3365992128846207	Q = +2	4	0.18	0.0008	0.00024392854237839423	2500
0.3365992128846207	Q = +3	3	24.24	0.057714285714285704	0.0016077465302555048	2500
0.3365992128846207	Q = -1	3	143.7	0.34214285714285725	0.0019719092572293537	2500
0.3365992128846207	Q = -2	4	95.56	0.4247111111111112	0.004204229474880055	2500
0.3365992128846207	Q = -3	3	0.06	0.00014285714285714287	8.077783732678856e-05	2500
0.3365992128846207	Q = -4	4	0.72	0.0032	0.0004406184526450151	2500
0.3365992128846207	Q = 0	4	128.54	0.5712888888888888	0.00418125006472998	2500
0.30543261909900765	Q = +1	3	261.52	0.6226666666666666	0.002797597853650875	2500
0.30543261909900765	Q = +2	4	0.12	0.0005333333333333334	0.00020632478487964345	2500
0.30543261909900765	Q = +3	3	34.04	0.08104761904761909	0.0017568414099038544	2500
0.30543261909900765	Q = -1	3	124.4	0.29619047619047634	0.0017634668567096214	2500
0.30543261909900765	Q = -2	4	126.18	0.5608	0.003548041947735027	2500
0.30543261909900765	Q = -3	3	0.04	9.523809523809524e-05	6.665278211654907e-05	2500
