frame	abs_C	err	time(s)	field(mT)
0	0.3731368421042569	0.024251911761460306	0.0	0.0
5000	0.37317894736741514	0.024248905256602477	50.0	0.625
10000	0.37354736842004915	0.024261630891028497	100.0	1.25
15000	0.3737684210516321	0.02427097109341475	150.0	1.875
20000	0.3737368421042649	0.02426368926125349	200.0	2.5
25000	0.37430526315689755	0.02429924986939577	250.0	3.125
30000	0.37519999999900616	0.024334512654870334	300.0	3.75
35000	0.3765684210516409	0.024417144785690632	350.0	4.375
40000	0.3772526315779585	0.024475278373353053	400.0	5.0
45000	0.3787157894727026	0.02458110857390642	450.0	5.625
50000	0.3809894736832408	0.024720963926395924	500.0	6.25
55000	0.3833368421043036	0.024885534131388908	550.0	6.875
60000	0.3876315789464324	0.025131022312917323	600.0	7.5
65000	0.3927157894727678	0.02541402766388327	650.0	8.125
70000	0.39804210526226974	0.025733183453962992	700.0	8.75
75000	0.4054631578938928	0.026156610977699002	750.0	9.375
80000	0.41326385599161314	0.026657038904924556	800.0	10.0
85000	0.4214631578939814	0.027109666886758532	850.0	10.625
90000	0.4315263157887732	0.027697647709725926	900.0	11.25
95000	0.4398631578940708	0.028154980593697733	950.0	11.875
100000	0.44957894736779913	0.02866452830985915	1000.0	12.5
105000	0.4569473684204575	0.029065365492673585	1050.0	13.125
110000	0.464905263157344	0.02938355665663255	1100.0	13.75
115000	0.47074056529238145	0.029764179548300324	1150.0	14.375
120000	0.47667771987950003	0.029926527691343168	1200.0	15.0
125000	0.48108421052583916	0.030178859565656108	1250.0	15.625
130000	0.4858421052626983	0.030238357219182443	1300.0	16.25
135000	0.4892526315785027	0.030305241612328736	1350.0	16.875
140000	0.4921513923246701	0.030469722485324136	1400.0	17.5
145000	0.49403157894694205	0.030445226487569067	1450.0	18.125
150000	0.49713142796948345	0.030515708601482915	1500.0	18.75
155000	0.49957097359999103	0.03066439743700833	1550.0	19.375
160000	0.5031422706454362	0.030720696094181	1600.0	20.0
165000	0.5070452930491043	0.030690240949026178	1650.0	20.625
170000	0.5091540769591915	0.030736151921916994	1700.0	21.25
175000	0.5116117486047989	0.030724040657878943	1750.0	21.875
180000	0.5116503065866779	0.030784762693098922	1800.0	22.5
185000	0.5133487735548014	0.030730347296390653	1850.0	23.125
190000	0.5159363074085925	0.030657313451817186	1900.0	23.75
195000	0.5162271698507686	0.030619311872905362	1950.0	24.375
200000	0.5176965996417977	0.03066000146509392	2000.0	25.0
205000	0.5182062213797999	0.03062881049693139	2050.0	25.0
210000	0.5168605569297824	0.030596351399250366	2100.0	25.0
215000	0.5185198831484166	0.03047498866718516	2150.0	25.0
220000	0.5196399431486808	0.030492885971032474	2200.0	25.0
225000	0.5198441941254555	0.03050085505503803	2250.0	25.0
230000	0.5202295099223901	0.030448949617022346	2300.0	25.0
235000	0.5195326069790736	0.030397741363850657	2350.0	25.0
240000	0.521370670596669	0.030383664004264656	2400.0	25.0
245000	0.5219537870412049	0.030413767875450574	2450.0	25.0
250000	0.5238656700703361	0.030282806354568925	2500.0	25.0
