time	coordination	charge	err	sec	mT
460	4	0.024355555555555554	0.018312211211812958	460	5.75
470	3	-0.017619047619047618	0.011583503270998278	470	5.875
470	4	0.02897777777777778	0.018294343656001664	470	5.875
480	3	-0.018476190476190476	0.011554429492903247	480	6.0
480	4	0.029866666666666666	0.018260494456253475	480	6.0
490	3	-0.018666666666666668	0.011533199241783356	490	6.125
490	4	0.03128888888888889	0.018229098905507505	490	6.125
500	3	-0.01780952380952381	0.01151673578420845	500	6.25
500	4	0.02968888888888889	0.018179853642023104	500	6.25
510	3	-0.01742857142857143	0.011496267420510263	510	6.375
510	4	0.0288	0.018121643995361324	510	6.375
520	3	-0.01876190476190476	0.011438423868031518	520	6.5
520	4	0.032	0.01809149031749787	520	6.5
530	3	-0.018952380952380953	0.011421743648251265	530	6.625
530	4	0.032711111111111114	0.01802661803617954	530	6.625
540	3	-0.01961904761904762	0.011397044281802845	540	6.75
540	4	0.034133333333333335	0.01800884093038612	540	6.75
550	3	-0.02057142857142857	0.011357898765101581	550	6.875
550	4	0.036444444444444446	0.01797945482340892	550	6.875
560	3	-0.018	0.011317304161744568	560	7.0
560	4	0.032	0.017910634434636537	560	7.0
570	3	-0.018666666666666668	0.01127469344949591	570	7.125
570	4	0.032711111111111114	0.017866346792608734	570	7.125
580	3	-0.016761904761904763	0.011249868485992048	580	7.25
580	4	0.028266666666666666	0.017828945753578695	580	7.25
590	3	-0.015904761904761904	0.011204684420181773	590	7.375
590	4	0.025777777777777778	0.017752887030881175	590	7.375
600	3	-0.016095238095238096	0.011190090103772426	600	7.5
600	4	0.025244444444444444	0.017702140417196068	600	7.5
610	3	-0.01685714285714286	0.011128259992484705	610	7.625
610	4	0.0272	0.01761148136126231	610	7.625
620	3	-0.01876190476190476	0.011102000407292905	620	7.75
620	4	0.030044444444444443	0.017530119893712608	620	7.75
630	3	-0.018571428571428572	0.011055346617698896	630	7.875
630	4	0.030577777777777777	0.017478575103899604	630	7.875
640	3	-0.017523809523809525	0.011000318732276885	640	8.0
640	4	0.030222222222222223	0.017424294664140055	640	8.0
650	3	-0.020476190476190478	0.010958768036656583	650	8.125
650	4	0.03591111111111111	0.01732509632191043	650	8.125
660	3	-0.020285714285714285	0.010914827968804983	660	8.25
660	4	0.035022222222222225	0.017249380412040233	660	8.25
670	3	-0.02019047619047619	0.010867363540266272	670	8.375
670	4	0.03537777777777778	0.01714086302283596	670	8.375
680	3	-0.018	0.01082992191513595	680	8.5
680	4	0.03164444444444445	0.017022162880222715	680	8.5
690	3	-0.015333333333333332	0.010756160736542177	690	8.625
690	4	0.027733333333333332	0.016920337515354933	690	8.625
700	3	-0.016	0.01069607198176823	700	8.75
700	4	0.027911111111111112	0.01683697872770422	700	8.75
710	3	-0.014761904761904763	0.010635775776019922	710	8.875
710	4	0.02542222222222222	0.016718644582442464	710	8.875
720	3	-0.013428571428571429	0.010581137145592938	720	9.0
720	4	0.024533333333333334	0.016607796892790547	720	9.0
730	3	-0.014952380952380953	0.01052344650891199	730	9.125
730	4	0.028444444444444446	0.01651371971278148	730	9.125
740	3	-0.014857142857142857	0.010451665943129759	740	9.25
740	4	0.028266666666666666	0.01641102696322486	740	9.25
750	3	-0.014857142857142857	0.010401207462924725	750	9.375
750	4	0.0304	0.01629277554079864	750	9.375
760	3	-0.013238095238095238	0.010324283750426256	760	9.5
760	4	0.026844444444444445	0.01619409269523583	760	9.5
770	3	-0.015238095238095238	0.01024300293345741	770	9.625
770	4	0.02951111111111111	0.016073192766062797	770	9.625
780	3	-0.016285714285714285	0.010176292418901283	780	9.75
780	4	0.030755555555555557	0.015896008042977177	780	9.75
790	3	-0.015333333333333332	0.010115569316614456	790	9.875
790	4	0.029866666666666666	0.01579542590433736	790	9.875
800	3	-0.019714285714285715	0.010023322925952673	800	10.0
800	4	0.03804444444444444	0.0156854223033474	800	10.0
810	3	-0.016	0.009958269676150237	810	10.125
810	4	0.02951111111111111	0.015506693406796031	810	10.125
820	3	-0.018952380952380953	0.009861915034957336	820	10.25
820	4	0.036444444444444446	0.015408249497869609	820	10.25
830	3	-0.019142857142857142	0.00977041548317576	830	10.375
830	4	0.03822222222222222	0.015228348703552018	830	10.375
840	3	-0.020666666666666667	0.009715337572620058	840	10.5
840	4	0.03928888888888889	0.015103056797883842	840	10.5
850	3	-0.020095238095238097	0.009641354601293157	850	10.625
