frame	abs_C	err	time(s)	field(mT)
0	0.3753052631569212	0.024380526888380778	0.0	0.0
5000	0.37564210526218883	0.024382188399978688	50.0	0.625
10000	0.3755368421042889	0.024394946363460547	100.0	1.25
15000	0.3760631578937692	0.024426037558349926	150.0	1.875
20000	0.3766105263148197	0.02444512321975628	200.0	2.5
25000	0.37754736842008935	0.02447971985494224	250.0	3.125
30000	0.3789789473674635	0.024533652619037498	300.0	3.75
35000	0.38010526315694365	0.02461157030820231	350.0	4.375
40000	0.3818315789464221	0.024751123177423843	400.0	5.0
45000	0.3845473684201226	0.024879808949780095	450.0	5.625
50000	0.3875052631569792	0.025143797724073248	500.0	6.25
55000	0.3919894736833158	0.02542674993295612	550.0	6.875
60000	0.39796842105176106	0.025805020319833817	600.0	7.5
65000	0.40466315789390556	0.0261726423487799	650.0	8.125
70000	0.4137052631571095	0.026670289625222852	700.0	8.75
75000	0.42453684210452913	0.027289562024339048	750.0	9.375
80000	0.4345157894730008	0.02784404214993468	800.0	10.0
85000	0.44813684210463806	0.028528676091039283	850.0	10.625
90000	0.46234736842049057	0.029281140699131302	900.0	11.25
95000	0.4773263157889885	0.029985269787243213	950.0	11.875
100000	0.4908363598079698	0.030596332641910872	1000.0	12.5
105000	0.5048265698190602	0.031204035751559313	1050.0	13.125
110000	0.5191894736838494	0.03181139846646715	1100.0	13.75
115000	0.5336105263154668	0.03226360771502037	1150.0	14.375
120000	0.5475052631576158	0.032728970438473844	1200.0	15.0
125000	0.5598631578944939	0.03304894748335873	1250.0	15.625
130000	0.5724421052629507	0.03330103345878631	1300.0	16.25
135000	0.5853578947366684	0.0335795821593949	1350.0	16.875
140000	0.5960631578945909	0.03369489167645912	1400.0	17.5
145000	0.6050947368419595	0.033908843184183454	1450.0	18.125
150000	0.6122421052630242	0.034073327245748145	1500.0	18.75
155000	0.6196842105261958	0.03413664305611537	1550.0	19.375
160000	0.6245999999998589	0.03432072980395832	1600.0	20.0
165000	0.6293999999998652	0.034384734855822406	1650.0	20.625
170000	0.632505263157772	0.03440392102631671	1700.0	21.25
175000	0.6356631578945945	0.03448147125577293	1750.0	21.875
180000	0.6387368421051253	0.03452887126540864	1800.0	22.5
185000	0.6402736842104076	0.03442699697241339	1850.0	23.125
190000	0.6423789473682985	0.03446408007512717	1900.0	23.75
195000	0.6428105263156795	0.03441534053641714	1950.0	24.375
200000	0.6439157894735682	0.034397127304217144	2000.0	25.0
205000	0.6444842105262103	0.03437267703211234	2050.0	25.0
210000	0.6439263157893711	0.0343387987434585	2100.0	25.0
215000	0.6446105263156897	0.03436858977470974	2150.0	25.0
220000	0.6450631578946231	0.03436819778394244	2200.0	25.0
225000	0.6472631578946434	0.0342459326209507	2250.0	25.0
230000	0.6481684210525439	0.0342406958957291	2300.0	25.0
235000	0.6491999999999137	0.03425062097823796	2350.0	25.0
240000	0.6490842105262531	0.03416304356278837	2400.0	25.0
245000	0.6495052631578224	0.03419516003428269	2450.0	25.0
250000	0.650352668701901	0.03418708648217129	2500.0	25.0
