frame	Chi	count	err	time(s)	field(mT)
0	-1.0	0.03352631578947369	0.001777762270583933	0.0	0.0
0	-0.6	0.16376315789473683	0.0032721995417676194	0.0	0.0
0	-0.2	0.32860526315789473	0.0054113208195972545	0.0	0.0
0	0.2	0.32826315789473687	0.0045852642329947966	0.0	0.0
0	0.6	0.1661578947368421	0.003456848175767319	0.0	0.0
0	1.0	0.03231578947368421	0.0023131148503538887	0.0	0.0
5000	-1.0	0.03363157894736842	0.0018130281468061729	50.0	0.625
5000	-0.6	0.16397368421052633	0.0033211578283856027	50.0	0.625
5000	-0.2	0.32823684210526316	0.005509930442762975	50.0	0.625
5000	0.2	0.32771052631578945	0.004523331329428507	50.0	0.625
5000	0.6	0.16686842105263158	0.0031156433218255267	50.0	0.625
5000	1.0	0.032210526315789474	0.0023420781084366993	50.0	0.625
10000	-1.0	0.03357894736842105	0.0018517470547374786	100.0	1.25
10000	-0.6	0.16415789473684209	0.0030766950367102355	100.0	1.25
10000	-0.2	0.32739473684210524	0.005394894027208902	100.0	1.25
10000	0.2	0.3288684210526316	0.004100511240806094	100.0	1.25
10000	0.6	0.1661842105263158	0.0032309509495917913	100.0	1.25
10000	1.0	0.03244736842105263	0.00237855868330293	100.0	1.25
15000	-1.0	0.033842105263157896	0.0019335153328074147	150.0	1.875
15000	-0.6	0.16423684210526315	0.002933403023564983	150.0	1.875
15000	-0.2	0.32734210526315793	0.005429884716073544	150.0	1.875
15000	0.2	0.328	0.004042044004637851	150.0	1.875
15000	0.6	0.16673684210526316	0.003192214155901918	150.0	1.875
15000	1.0	0.032473684210526314	0.002390161585872461	150.0	1.875
20000	-1.0	0.03368421052631579	0.0019261185650299992	200.0	2.5
20000	-0.6	0.1648157894736842	0.002884967892752477	200.0	2.5
20000	-0.2	0.32773684210526316	0.0052737809013263665	200.0	2.5
20000	0.2	0.3263684210526316	0.004364757176135415	200.0	2.5
20000	0.6	0.16721052631578948	0.0034103360199393717	200.0	2.5
20000	1.0	0.03281578947368421	0.00249003043531029	200.0	2.5
25000	-1.0	0.033605263157894735	0.0019538205591981485	250.0	3.125
