frame	abs_C	err	time(s)	field(mT)
0	0.37653684210430594	0.024459914651965974	0.0	0.0
5000	0.37625263157798494	0.024452006336522697	50.0	0.625
10000	0.37645263157798803	0.024450496557612417	100.0	1.25
15000	0.376421052630619	0.024463965083307296	150.0	1.875
20000	0.37631578947272143	0.024473273227341073	200.0	2.5
25000	0.37725263157799016	0.024530267069033725	250.0	3.125
30000	0.37787368420956985	0.024549671706518436	300.0	3.75
35000	0.37872631578852345	0.024634242805079764	350.0	4.375
40000	0.3798947368411602	0.02471570881397084	400.0	5.0
45000	0.38143157894642776	0.02480593322909362	450.0	5.625
50000	0.38322105263064854	0.024927020692440405	500.0	6.25
55000	0.38543157894644653	0.02505209033325866	550.0	6.875
60000	0.38883157894646037	0.025258624801440754	600.0	7.5
65000	0.3929368421043776	0.025530360071299475	650.0	8.125
70000	0.39804210526229605	0.025850723790284358	700.0	8.75
75000	0.4041578947360107	0.026204041400171862	750.0	9.375
80000	0.41202168535105993	0.026651872478104438	800.0	10.0
85000	0.41944210526239245	0.027050298213183888	850.0	10.625
90000	0.42635789473610947	0.027424993284251603	900.0	11.25
95000	0.43263329648856985	0.02787465199935053	950.0	11.875
100000	0.43902310647859605	0.028158157515401138	1000.0	12.5
105000	0.4452234328116096	0.028427497066753803	1050.0	13.125
110000	0.4501184272850234	0.028676119614911795	1100.0	13.75
115000	0.4540315789467688	0.02883619341541314	1150.0	14.375
120000	0.45775789473626166	0.028947728444884087	1200.0	15.0
125000	0.46035054476494924	0.02900866141653079	1250.0	15.625
130000	0.4613538267180308	0.029111256163356386	1300.0	16.25
135000	0.4629855774286521	0.029137150661668478	1350.0	16.875
140000	0.46292962787460024	0.029098873904810772	1400.0	17.5
145000	0.4646981420069325	0.029094819214894097	1450.0	18.125
150000	0.4657542899247242	0.028999059327467807	1500.0	18.75
155000	0.46446959726191844	0.028944936962720026	1550.0	19.375
160000	0.4645402389594321	0.028890652036351883	1600.0	20.0
165000	0.46346649823622327	0.028766968682663385	1650.0	20.625
170000	0.46280661122169636	0.0286851506371255	1700.0	21.25
175000	0.4625473684205228	0.028711972114542073	1750.0	21.875
180000	0.4618801979150343	0.028659765760849963	1800.0	22.5
185000	0.459977891245437	0.02851069215113653	1850.0	23.125
190000	0.4584482577107774	0.02843856622123852	1900.0	23.75
195000	0.4567593177505351	0.02832082135162975	1950.0	24.375
200000	0.4566871940622895	0.02818692574208278	2000.0	25.0
205000	0.45760303173798683	0.02808151653704074	2050.0	25.0
210000	0.4566721061214702	0.028089250635574447	2100.0	25.0
215000	0.4560555818721835	0.028052838969764397	2150.0	25.0
220000	0.4569879454645314	0.028087358170940612	2200.0	25.0
225000	0.4579038795593814	0.028164475909352005	2250.0	25.0
230000	0.457741510923377	0.028141681087967257	2300.0	25.0
235000	0.45702705547898115	0.028162530584939782	2350.0	25.0
240000	0.45699247328751963	0.028140396669251555	2400.0	25.0
245000	0.4594768145686527	0.028244412131909962	2450.0	25.0
250000	0.4597989156177318	0.02814580467584992	2500.0	25.0
