frame	Chi	count	err	time(s)	field(mT)
0	-1.0	0.03281578947368421	0.0019829000735485914	0.0	0.0
0	-0.6	0.16678947368421052	0.003226913155246716	0.0	0.0
0	-0.2	0.3245789473684211	0.0047429844410091055	0.0	0.0
0	0.2	0.3294736842105263	0.004893720370762605	0.0	0.0
0	0.6	0.16576315789473683	0.0031982407433011487	0.0	0.0
0	1.0	0.033210526315789475	0.0018447119810285884	0.0	0.0
5000	-1.0	0.032973684210526315	0.002014718440666296	50.0	0.625
5000	-0.6	0.16621052631578948	0.003284303132903511	50.0	0.625
5000	-0.2	0.32526315789473687	0.004605838540087752	50.0	0.625
5000	0.2	0.32913157894736844	0.0051512059591322205	50.0	0.625
5000	0.6	0.16589473684210526	0.0032414213152781915	50.0	0.625
5000	1.0	0.03315789473684211	0.0018664949755347984	50.0	0.625
10000	-1.0	0.03305263157894737	0.0020098547418760607	100.0	1.25
10000	-0.6	0.16578947368421051	0.00316102601647788	100.0	1.25
10000	-0.2	0.3257105263157895	0.004349552575754046	100.0	1.25
10000	0.2	0.32960526315789473	0.005022878574601779	100.0	1.25
10000	0.6	0.1650263157894737	0.0034599641981980806	100.0	1.25
10000	1.0	0.03344736842105263	0.0018245480631036168	100.0	1.25
15000	-1.0	0.032973684210526315	0.0020443144450196233	150.0	1.875
15000	-0.6	0.1665	0.0032298134371198995	150.0	1.875
15000	-0.2	0.3249473684210526	0.004621125054178031	150.0	1.875
15000	0.2	0.3295526315789474	0.004851088255971872	150.0	1.875
15000	0.6	0.16521052631578947	0.0034487845665850028	150.0	1.875
15000	1.0	0.03344736842105263	0.001812891724128761	150.0	1.875
20000	-1.0	0.03302631578947368	0.002148538175739781	200.0	2.5
20000	-0.6	0.16628947368421051	0.0031664871467046757	200.0	2.5
20000	-0.2	0.32592105263157894	0.004221797815995063	200.0	2.5
20000	0.2	0.3283684210526316	0.004872853383399187	200.0	2.5
20000	0.6	0.1654736842105263	0.003541185762998252	200.0	2.5
20000	1.0	0.03355263157894737	0.0017497364992255994	200.0	2.5
25000	-1.0	0.03368421052631579	0.002399839348647313	250.0	3.125
25000	-0.6	0.16581578947368422	0.0033228595791411045	250.0	3.125
25000	-0.2	0.3255789473684211	0.00418811165916127	250.0	3.125
25000	0.2	0.32794736842105265	0.0051857628518789224	250.0	3.125
25000	0.6	0.1656842105263158	0.0034576657648082835	250.0	3.125
25000	1.0	0.03392105263157895	0.001743749082489514	250.0	3.125
30000	-1.0	0.03431578947368421	0.0023892744680057785	300.0	3.75
30000	-0.6	0.1654736842105263	0.003482834675018174	300.0	3.75
30000	-0.2	0.32581578947368417	0.004649275646178176	300.0	3.75
30000	0.2	0.3265	0.005093263550725681	300.0	3.75
30000	0.6	0.16642105263157894	0.003760563729191313	300.0	3.75
30000	1.0	0.034105263157894736	0.0018756347032847856	300.0	3.75
35000	-1.0	0.03502631578947368	0.0024391080583485328	350.0	4.375
35000	-0.6	0.1656315789473684	0.0032050277789827486	350.0	4.375
35000	-0.2	0.3243421052631579	0.004725677557686169	350.0	4.375
35000	0.2	0.32642105263157895	0.005357531973732639	350.0	4.375
35000	0.6	0.167	0.0036756075711392574	350.0	4.375
35000	1.0	0.034210526315789476	0.001841721611115171	350.0	4.375
40000	-1.0	0.03528947368421052	0.002532632297701758	400.0	5.0
40000	-0.6	0.16639473684210526	0.003226529904250066	400.0	5.0
40000	-0.2	0.3229736842105263	0.004331644463902801	400.0	5.0
40000	0.2	0.326	0.005137847667949454	400.0	5.0
40000	0.6	0.16734210526315788	0.0035132680198528086	400.0	5.0
40000	1.0	0.03463157894736842	0.0018711081870650776	400.0	5.0
45000	-1.0	0.03597368421052631	0.002493150206772636	450.0	5.625
45000	-0.6	0.1665	0.00334270569807019	450.0	5.625
45000	-0.2	0.3221315789473684	0.0046914898362822	450.0	5.625
45000	0.2	0.32513157894736844	0.005053035754063556	450.0	5.625
45000	0.6	0.16778947368421054	0.003543858762890142	450.0	5.625
45000	1.0	0.03510526315789474	0.0017979202940299594	450.0	5.625
50000	-1.0	0.036394736842105264	0.0025890904024149933	500.0	6.25
50000	-0.6	0.16742105263157897	0.0036034967094820416	500.0	6.25
50000	-0.2	0.3222105263157895	0.004719984324235623	500.0	6.25
50000	0.2	0.3216578947368421	0.004952006932646171	500.0	6.25
50000	0.6	0.16892105263157894	0.00357033026246195	500.0	6.25
50000	1.0	0.036026315789473684	0.001712260543658819	500.0	6.25
55000	-1.0	0.03710526315789474	0.002424739172420617	550.0	6.875
55000	-0.6	0.16839473684210526	0.0034888453601403264	550.0	6.875
55000	-0.2	0.321078947368421	0.005124027052116469	550.0	6.875
55000	0.2	0.31934210526315787	0.0049032775469777965	550.0	6.875
55000	0.6	0.16963157894736844	0.0036832897422318495	550.0	6.875
55000	1.0	0.03707894736842105	0.0017586794044910814	550.0	6.875
60000	-1.0	0.03894736842105263	0.0023052195062790814	600.0	7.5
60000	-0.6	0.1693157894736842	0.0035679048703211006	600.0	7.5
60000	-0.2	0.3179736842105263	0.0051987261819471066	600.0	7.5
60000	0.2	0.3168947368421053	0.004907678397480334	600.0	7.5
60000	0.6	0.17110526315789476	0.003433176896273774	600.0	7.5
60000	1.0	0.038394736842105266	0.0017865846711409615	600.0	7.5
65000	-1.0	0.04076315789473684	0.0025337481299812542	650.0	8.125
65000	-0.6	0.16973684210526316	0.003548601365989234	650.0	8.125
65000	-0.2	0.3167894736842105	0.0046376108071430645	650.0	8.125
65000	0.2	0.3127368421052632	0.0047422394360816175	650.0	8.125
65000	0.6	0.1723684210526316	0.0035356338404666124	650.0	8.125
65000	1.0	0.04023684210526316	0.0019115534015053015	650.0	8.125
70000	-1.0	0.043131578947368424	0.002728207170443534	700.0	8.75
70000	-0.6	0.1701842105263158	0.003742074746718566	700.0	8.75
70000	-0.2	0.3136842105263158	0.004598929202609748	700.0	8.75
70000	0.2	0.31042105263157893	0.004772245071830356	700.0	8.75
70000	0.6	0.17271052631578945	0.0035354439624370494	700.0	8.75
70000	1.0	0.0425	0.0017975468676406433	700.0	8.75
75000	-1.0	0.045894736842105266	0.002746728816741586	750.0	9.375
75000	-0.6	0.17242105263157895	0.0037025399498707558	750.0	9.375
75000	-0.2	0.3078947368421053	0.00506612948208211	750.0	9.375
75000	0.2	0.306078947368421	0.004385697270745517	750.0	9.375
75000	0.6	0.17578947368421052	0.00356944939224004	750.0	9.375
75000	1.0	0.04455263157894737	0.0018759549172929916	750.0	9.375
80000	-1.0	0.04763157894736842	0.002946994375528723	800.0	10.0
80000	-0.6	0.17444736842105263	0.0038678803044607476	800.0	10.0
80000	-0.2	0.30455263157894735	0.004854000764455572	800.0	10.0
80000	0.2	0.30307894736842106	0.004360424202472438	800.0	10.0
80000	0.6	0.17507894736842103	0.0035895956617833886	800.0	10.0
80000	1.0	0.04778947368421053	0.002205649061697757	800.0	10.0
85000	-1.0	0.05147368421052632	0.002994143189060773	850.0	10.625
85000	-0.6	0.17428947368421052	0.0037483012904921996	850.0	10.625
85000	-0.2	0.3004210526315789	0.004352987372738053	850.0	10.625
85000	0.2	0.298921052631579	0.00452198760165521	850.0	10.625
85000	0.6	0.1769736842105263	0.0037511657976456963	850.0	10.625
85000	1.0	0.0505	0.002244474248091894	850.0	10.625
90000	-1.0	0.05476315789473684	0.0028555223936527594	900.0	11.25
90000	-0.6	0.1748157894736842	0.00390236610155562	900.0	11.25
90000	-0.2	0.2969473684210527	0.005008924140669164	900.0	11.25
90000	0.2	0.2946315789473684	0.004729855212327681	900.0	11.25
90000	0.6	0.17715789473684213	0.00385201699593427	900.0	11.25
90000	1.0	0.05426315789473684	0.002090712335812281	900.0	11.25
95000	-1.0	0.05781578947368421	0.003089130021856127	950.0	11.875
95000	-0.6	0.1756578947368421	0.004190717703884418	950.0	11.875
95000	-0.2	0.29236842105263156	0.004874912211057848	950.0	11.875
95000	0.2	0.29181578947368425	0.0045675454050498505	950.0	11.875
95000	0.6	0.17828947368421053	0.0036002497542148783	950.0	11.875
95000	1.0	0.05668421052631579	0.002013718567278103	950.0	11.875
100000	-1.0	0.060631578947368425	0.003012026696795015	1000.0	12.5
100000	-0.6	0.1766578947368421	0.003960602591412696	1000.0	12.5
100000	-0.2	0.2882368421052631	0.004828603098268043	1000.0	12.5
100000	0.2	0.2882631578947369	0.0043969215097694305	1000.0	12.5
100000	0.6	0.17973684210526317	0.0033855465571186252	1000.0	12.5
100000	1.0	0.05910526315789474	0.0021886028591282737	1000.0	12.5
105000	-1.0	0.06252631578947368	0.002848522809804433	1050.0	13.125
105000	-0.6	0.17710526315789474	0.003679604301726963	1050.0	13.125
105000	-0.2	0.28671052631578947	0.004856213102661029	1050.0	13.125
105000	0.2	0.28557894736842104	0.005419900183050762	1050.0	13.125
105000	0.6	0.1785	0.0043798283242782255	1050.0	13.125
105000	1.0	0.06221052631578947	0.002530329339590584	1050.0	13.125
110000	-1.0	0.06413157894736841	0.0030166801255945516	1100.0	13.75
110000	-0.6	0.17755263157894738	0.003927995784713957	1100.0	13.75
110000	-0.2	0.2841578947368421	0.004719475264775926	1100.0	13.75
110000	0.2	0.28444736842105267	0.005228598945522814	1100.0	13.75
110000	0.6	0.17905263157894735	0.0041249356511699874	1100.0	13.75
110000	1.0	0.06328947368421052	0.002494057043892054	1100.0	13.75
115000	-1.0	0.06460526315789474	0.002773113872843184	1150.0	14.375
115000	-0.6	0.17889473684210525	0.004216530359407762	1150.0	14.375
115000	-0.2	0.28321052631578947	0.004744563464569867	1150.0	14.375
115000	0.2	0.28228947368421053	0.004404444599386955	1150.0	14.375
115000	0.6	0.17839473684210524	0.004252517851634116	1150.0	14.375
115000	1.0	0.06523684210526316	0.002675638151186263	1150.0	14.375
120000	-1.0	0.0653421052631579	0.002651122381956134	1200.0	15.0
120000	-0.6	0.1795263157894737	0.0040994340173758975	1200.0	15.0
120000	-0.2	0.2821578947368421	0.0042183734610115094	1200.0	15.0
120000	0.2	0.2801315789473684	0.0051169611955053235	1200.0	15.0
120000	0.6	0.1799473684210526	0.0035141428638913877	1200.0	15.0
120000	1.0	0.06552631578947368	0.002575942483176826	1200.0	15.0
125000	-1.0	0.06536842105263158	0.0025126735126863664	1250.0	15.625
125000	-0.6	0.18042105263157895	0.003856490586657393	1250.0	15.625
125000	-0.2	0.2816578947368421	0.004573049833699893	1250.0	15.625
125000	0.2	0.2781578947368421	0.005304616518994596	1250.0	15.625
125000	0.6	0.18142105263157896	0.0036580705318280883	1250.0	15.625
125000	1.0	0.06560526315789474	0.0025525319169533234	1250.0	15.625
130000	-1.0	0.06613157894736843	0.0024025027230056184	1300.0	16.25
130000	-0.6	0.1807105263157895	0.004097235603376432	1300.0	16.25
130000	-0.2	0.2795789473684211	0.0046790845605923625	1300.0	16.25
130000	0.2	0.2788157894736842	0.004947752630372319	1300.0	16.25
130000	0.6	0.1818421052631579	0.003318081829115221	1300.0	16.25
130000	1.0	0.06555263157894736	0.0025727720405504966	1300.0	16.25
135000	-1.0	0.06578947368421052	0.002196917343411576	1350.0	16.875
135000	-0.6	0.1818684210526316	0.003660629227731889	1350.0	16.875
135000	-0.2	0.2778421052631579	0.00480656409484721	1350.0	16.875
135000	0.2	0.2792368421052631	0.005677370123284359	1350.0	16.875
135000	0.6	0.18305263157894738	0.003608474269128697	1350.0	16.875
135000	1.0	0.0648421052631579	0.002734351920083013	1350.0	16.875
140000	-1.0	0.06415789473684211	0.002112567885765005	1400.0	17.5
140000	-0.6	0.1841578947368421	0.0037149249092326086	1400.0	17.5
140000	-0.2	0.27878947368421053	0.004730452785981988	1400.0	17.5
140000	0.2	0.2758157894736842	0.004732133057310412	1400.0	17.5
140000	0.6	0.18586842105263157	0.0035811206044706065	1400.0	17.5
140000	1.0	0.06363157894736843	0.0024302119741149452	1400.0	17.5
145000	-1.0	0.06276315789473684	0.001939372354879869	1450.0	18.125
145000	-0.6	0.1838157894736842	0.003479475122915143	1450.0	18.125
145000	-0.2	0.28289473684210525	0.004804093549091695	1450.0	18.125
145000	0.2	0.2742894736842105	0.0042567697560149855	1450.0	18.125
145000	0.6	0.18589473684210525	0.0037453119545874484	1450.0	18.125
145000	1.0	0.06297368421052632	0.0026315923737573695	1450.0	18.125
150000	-1.0	0.0615	0.001972896369789631	1500.0	18.75
150000	-0.6	0.18394736842105264	0.0034741398653076465	1500.0	18.75
150000	-0.2	0.28371052631578947	0.004369554872076709	1500.0	18.75
150000	0.2	0.27563157894736845	0.0045020582475149284	1500.0	18.75
150000	0.6	0.18644736842105264	0.0035726650016444012	1500.0	18.75
150000	1.0	0.06134210526315789	0.002340040606273167	1500.0	18.75
155000	-1.0	0.061289473684210526	0.002347879051260197	1550.0	19.375
155000	-0.6	0.1848421052631579	0.00422764377679137	1550.0	19.375
155000	-0.2	0.28068421052631576	0.005234508491275142	1550.0	19.375
155000	0.2	0.27936842105263154	0.004484128832405116	1550.0	19.375
155000	0.6	0.18576315789473682	0.0038775512063696986	1550.0	19.375
155000	1.0	0.06057894736842105	0.0024348599882575016	1550.0	19.375
160000	-1.0	0.05997368421052632	0.0021017189554499043	1600.0	20.0
160000	-0.6	0.18623684210526317	0.004360910357783504	1600.0	20.0
160000	-0.2	0.2801842105263158	0.00620665761825224	1600.0	20.0
160000	0.2	0.27989473684210525	0.004484601577478533	1600.0	20.0
160000	0.6	0.1876578947368421	0.004180283777144733	1600.0	20.0
160000	1.0	0.05868421052631579	0.0023174488732966075	1600.0	20.0
165000	-1.0	0.05868421052631579	0.0020539531397966515	1650.0	20.625
165000	-0.6	0.18573684210526314	0.004174760826787523	1650.0	20.625
165000	-0.2	0.28242105263157896	0.005014084972255085	1650.0	20.625
165000	0.2	0.2802631578947368	0.0051840183272533775	1650.0	20.625
165000	0.6	0.18857894736842107	0.003650141695867374	1650.0	20.625
165000	1.0	0.056947368421052635	0.0022289143648554573	1650.0	20.625
170000	-1.0	0.05626315789473685	0.0019490224345680147	1700.0	21.25
170000	-0.6	0.1863421052631579	0.0032686126924484854	1700.0	21.25
170000	-0.2	0.28555263157894734	0.0052795729518069255	1700.0	21.25
170000	0.2	0.2800263157894737	0.004856533226017139	1700.0	21.25
170000	0.6	0.18905263157894736	0.0035896251909147744	1700.0	21.25
170000	1.0	0.0553421052631579	0.0023378048596894643	1700.0	21.25
175000	-1.0	0.05557894736842105	0.0020359147423851184	1750.0	21.875
175000	-0.6	0.18563157894736843	0.004019076563842431	1750.0	21.875
