frame	abs_C	err	time(s)	field(mT)
0	0.3762315789463943	0.024431129299936637	0.0	0.0
5000	0.3760736842095526	0.024414071194064375	50.0	0.625
10000	0.3757789473674457	0.02441633871810696	100.0	1.25
15000	0.3761368421042921	0.02439916302923983	150.0	1.875
20000	0.3768421052621886	0.024459381032416357	200.0	2.5
25000	0.3771157894727205	0.024468840900267026	250.0	3.125
30000	0.37801052631482995	0.02452859571167392	300.0	3.75
35000	0.37883157894641334	0.024623182530459857	350.0	4.375
40000	0.38037894736747035	0.02472300637323991	400.0	5.0
45000	0.3821684210516816	0.024877434817841083	450.0	5.625
50000	0.38436842105169533	0.024998564909705902	500.0	6.25
55000	0.3885052631569795	0.02522546658809342	550.0	6.875
60000	0.39331578947279155	0.025485161835632226	600.0	7.5
65000	0.40004210526229667	0.02591003341132258	650.0	8.125
70000	0.4080947368412779	0.026423693629906007	700.0	8.75
75000	0.4187684210518562	0.02706750340936192	750.0	9.375
80000	0.4294421052624368	0.02757437492517984	800.0	10.0
85000	0.4415157894730251	0.028284832699381406	850.0	10.625
90000	0.4548631578941347	0.0290228500492897	900.0	11.25
95000	0.4693157894731317	0.02967969281037654	950.0	11.875
100000	0.48331578947318354	0.030317272275519412	1000.0	12.5
105000	0.4978526315785026	0.031009692910604385	1050.0	13.125
110000	0.5111368421048603	0.03156858373334358	1100.0	13.75
115000	0.5240842105259637	0.032016684104120584	1150.0	14.375
120000	0.5345052631575813	0.03236460724595748	1200.0	15.0
125000	0.5445263157891831	0.03268301843496959	1250.0	15.625
130000	0.5561052631576374	0.033017082426741014	1300.0	16.25
135000	0.5655999999997586	0.0332968091309455	1350.0	16.875
140000	0.5729473684208106	0.03370730288817693	1400.0	17.5
145000	0.5805252908045226	0.03399041231607591	1450.0	18.125
150000	0.5869263157892171	0.034282758056439384	1500.0	18.75
155000	0.5936736842102691	0.034506837492242246	1550.0	19.375
160000	0.6001999999997404	0.03475940858745911	1600.0	20.0
165000	0.6045052631575965	0.03505384307478989	1650.0	20.625
170000	0.6086842105260382	0.035047782336431965	1700.0	21.25
175000	0.6121684210523551	0.035162772069470064	1750.0	21.875
180000	0.6148857774499766	0.035278528304983736	1800.0	22.5
185000	0.6181176965993606	0.03535345111417588	1850.0	23.125
190000	0.6197473684207598	0.03545525985863958	1900.0	23.75
195000	0.6211695352384042	0.03544383104289223	1950.0	24.375
200000	0.6229720482178609	0.03543626059941879	2000.0	25.0
205000	0.6235052631575995	0.03546736920500945	2050.0	25.0
210000	0.6256105263155117	0.035426651195562174	2100.0	25.0
215000	0.6268238761972165	0.03535826484294458	2150.0	25.0
220000	0.6266540344225943	0.03537290096879699	2200.0	25.0
225000	0.627284210526046	0.035368350217205614	2250.0	25.0
230000	0.6284421052628947	0.03536875216019787	2300.0	25.0
235000	0.6295157894734252	0.035340896505568015	2350.0	25.0
240000	0.6292421052628996	0.03534793659638567	2400.0	25.0
245000	0.6299805252905469	0.0353593628194381	2450.0	25.0
250000	0.6305157894734255	0.03534610407128136	2500.0	25.0
