time	coordination	charge	err	sec	mT
320	4	-0.014222222222222223	0.018644141963331338	320	4.0
325	3	0.00871111111111111	0.011551220965926473	325	4.0625
325	4	-0.015822222222222224	0.018648265198687737	325	4.0625
330	3	0.008	0.011545770160919433	330	4.125
330	4	-0.014755555555555555	0.01867036410594985	330	4.125
335	3	0.0096	0.011542978138747332	335	4.1875
335	4	-0.017955555555555554	0.018644703218134027	335	4.1875
340	3	0.009422222222222222	0.011543669164906723	340	4.25
340	4	-0.01831111111111111	0.018648062708389795	340	4.25
345	3	0.011377777777777778	0.011540167851834036	345	4.3125
345	4	-0.021866666666666666	0.018642636535593688	345	4.3125
350	3	0.010844444444444445	0.011538821191000815	350	4.375
350	4	-0.021155555555555556	0.01864779512855211	350	4.375
355	3	0.01271111111111111	0.011532571769074617	355	4.4375
355	4	-0.024355555555555554	0.018638970978689735	355	4.4375
360	3	0.012444444444444444	0.011538749425545046	360	4.5
360	4	-0.0224	0.0186552918621375	360	4.5
365	3	0.0136	0.011546221699817292	365	4.5625
365	4	-0.02542222222222222	0.01862187864038194	365	4.5625
370	3	0.0136	0.011540745650491593	370	4.625
370	4	-0.024533333333333334	0.018622833278034524	370	4.625
375	3	0.014666666666666666	0.011535208913947152	375	4.6875
375	4	-0.027733333333333332	0.018591857682714485	375	4.6875
380	3	0.013777777777777778	0.011534572610113964	380	4.75
380	4	-0.025066666666666668	0.018596443947747218	380	4.75
385	3	0.01608888888888889	0.011536494566813948	385	4.8125
385	4	-0.0304	0.018590636981244038	385	4.8125
390	3	0.017333333333333333	0.011535729500068205	390	4.875
390	4	-0.032355555555555554	0.018569078600792203	390	4.875
395	3	0.018044444444444443	0.011534311015122136	395	4.9375
395	4	-0.0336	0.01854247943038043	395	4.9375
400	3	0.018488888888888888	0.0115370196151952	400	5.0
400	4	-0.034666666666666665	0.018547418058760045	400	5.0
405	3	0.020355555555555557	0.01153482506557689	405	5.0625
405	4	-0.03768888888888889	0.018505093826686927	405	5.0625
410	3	0.020177777777777777	0.01153894833163163	410	5.125
410	4	-0.037333333333333336	0.018508573683819245	410	5.125
415	3	0.0216	0.011538833897518239	415	5.1875
415	4	-0.04	0.01849184739571676	415	5.1875
420	3	0.021777777777777778	0.011531283973382893	420	5.25
420	4	-0.04017777777777778	0.01848582967443011	420	5.25
425	3	0.022577777777777776	0.011526417948252078	425	5.3125
425	4	-0.04231111111111111	0.018463164776927055	425	5.3125
430	3	0.022488888888888888	0.011519568440348084	430	5.375
430	4	-0.041777777777777775	0.01844700228116815	430	5.375
435	3	0.02408888888888889	0.011513935875065766	435	5.4375
435	4	-0.04551111111111111	0.01843850465401906	435	5.4375
440	3	0.025155555555555556	0.011509716141196927	440	5.5
440	4	-0.047822222222222224	0.01841825996962588	440	5.5
