p	x_c	y_c
78	898.9771851956991	-139.0559438762614
79	862.3981039036121	-139.0559438762614
80	18.28954064604357	-185.40792516834858
81	-18.28954064604357	-185.40792516834858
82	64.64152193813071	-231.75990646043567
83	28.062440646043573	-231.75990646043567
84	110.99350323021784	-185.40792516834858
85	74.41442193813072	-185.40792516834858
86	157.345484522305	-231.75990646043567
87	120.76640323021783	-231.75990646043567
88	203.69746581439213	-185.40792516834858
89	167.11838452230498	-185.40792516834858
90	250.04944710647925	-231.75990646043567
91	213.4703658143921	-231.75990646043567
92	296.40142839856634	-185.40792516834858
93	259.82234710647924	-185.40792516834858
94	342.7534096906536	-231.75990646043567
95	306.1743283985664	-231.75990646043567
96	389.1053909827407	-185.40792516834858
97	352.52630969065353	-185.40792516834858
98	435.45737227482783	-231.75990646043567
99	398.8782909827407	-231.75990646043567
100	481.809353566915	-185.40792516834858
101	445.2302722748278	-185.40792516834858
102	528.1613348590022	-231.75990646043567
103	491.5822535669149	-231.75990646043567
104	574.5133161510893	-185.40792516834858
105	537.9342348590021	-185.40792516834858
106	620.8652974431762	-231.75990646043567
107	584.2862161510892	-231.75990646043567
108	667.2172787352633	-185.40792516834858
109	630.6381974431763	-185.40792516834858
110	713.5692600273504	-231.75990646043567
111	676.9901787352635	-231.75990646043567
112	759.9212413194377	-185.40792516834858
113	723.3421600273508	-185.40792516834858
114	806.2732226115248	-231.75990646043567
115	769.6941413194377	-231.75990646043567
116	852.625203903612	-185.40792516834858
117	816.046122611525	-185.40792516834858
118	898.9771851956991	-231.75990646043567
119	862.3981039036121	-231.75990646043567
120	18.28954064604357	-278.1118877525228
121	-18.28954064604357	-278.1118877525228
122	64.64152193813071	-324.46386904460996
123	28.062440646043573	-324.46386904460996
124	110.99350323021784	-278.1118877525228
125	74.41442193813072	-278.1118877525228
126	157.345484522305	-324.46386904460996
127	120.76640323021783	-324.46386904460996
128	203.69746581439213	-278.1118877525228
129	167.11838452230498	-278.1118877525228
130	250.04944710647925	-324.46386904460996
131	213.4703658143921	-324.46386904460996
132	296.40142839856634	-278.1118877525228
133	259.82234710647924	-278.1118877525228
134	342.7534096906536	-324.46386904460996
135	306.1743283985664	-324.46386904460996
136	389.1053909827407	-278.1118877525228
137	352.52630969065353	-278.1118877525228
138	435.45737227482783	-324.46386904460996
139	398.8782909827407	-324.46386904460996
140	481.809353566915	-278.1118877525228
141	445.2302722748278	-278.1118877525228
142	528.1613348590022	-324.46386904460996
143	491.5822535669149	-324.46386904460996
144	574.5133161510893	-278.1118877525228
145	537.9342348590021	-278.1118877525228
146	620.8652974431762	-324.46386904460996
147	584.2862161510892	-324.46386904460996
148	667.2172787352633	-278.1118877525228
149	630.6381974431763	-278.1118877525228
150	713.5692600273504	-324.46386904460996
151	676.9901787352635	-324.46386904460996
152	759.9212413194377	-278.1118877525228
153	723.3421600273508	-278.1118877525228
154	806.2732226115248	-324.46386904460996
155	769.6941413194377	-324.46386904460996
156	852.625203903612	-278.1118877525228
157	816.046122611525	-278.1118877525228
158	898.9771851956991	-324.46386904460996
159	862.3981039036121	-324.46386904460996
160	18.28954064604357	-370.81585033669717
161	-18.28954064604357	-370.81585033669717
162	64.64152193813071	-417.16783162878426
163	28.062440646043573	-417.16783162878426
164	110.99350323021784	-370.81585033669717
165	74.41442193813072	-370.81585033669717
166	157.345484522305	-417.16783162878426
167	120.76640323021783	-417.16783162878426
168	203.69746581439213	-370.81585033669717
169	167.11838452230498	-370.81585033669717
170	250.04944710647925	-417.16783162878426
171	213.4703658143921	-417.16783162878426
172	296.40142839856634	-370.81585033669717
173	259.82234710647924	-370.81585033669717
174	342.7534096906536	-417.16783162878426
175	306.1743283985664	-417.16783162878426
176	389.1053909827407	-370.81585033669717
177	352.52630969065353	-370.81585033669717
178	435.45737227482783	-417.16783162878426
179	398.8782909827407	-417.16783162878426
180	481.809353566915	-370.81585033669717
181	445.2302722748278	-370.81585033669717
182	528.1613348590022	-417.16783162878426
183	491.5822535669149	-417.16783162878426
