pentagon index	x	y	z	x_c	y_c	z_c	dx	dy	dz	Chi
0	30.305867762873653	10.865524559326222	0.0	18.28954064604357	0.0	1	-5.0	8.660249710083008	0.0	-0.2
0	30.305867762873653	-10.865524559326222	0.0	18.28954064604357	0.0	1	5.0	8.660249710083008	0.0	-0.2
0	10.865524559326222	16.046113529213482	0.0	18.28954064604357	0.0	1	-8.660249710083008	-5.0	-0.0	-0.2
0	10.865524559326222	-16.046113529213482	0.0	18.28954064604357	0.0	1	-8.660249710083008	5.0	-0.0	-0.2
0	0.0	0.0	0.0	18.28954064604357	0.0	1	0.0	4.5258002281188965	0.0	-0.2
1	-10.865524559326222	16.046113529213482	0.0	-18.28954064604357	0.0	1	8.660249710083008	-5.0	-0.0	0.2
1	-10.865524559326222	-16.046113529213482	0.0	-18.28954064604357	0.0	1	-8.660249710083008	-5.0	0.0	0.2
1	0.0	0.0	0.0	-18.28954064604357	0.0	1	0.0	4.5258002281188965	0.0	0.2
1	10.865524559326222	16.046113529213482	0.0	-18.28954064604357	0.0	1	-8.660249710083008	-5.0	-0.0	0.2
1	10.865524559326222	-16.046113529213482	0.0	-18.28954064604357	0.0	1	-8.660249710083008	5.0	-0.0	0.2
2	76.65784905496079	-35.48645673276092	0.0	64.64152193813071	-46.351981292087146	1	-5.0	8.660249710083008	0.0	0.2
2	76.65784905496079	-57.21750585141336	0.0	64.64152193813071	-46.351981292087146	1	-5.0	-8.660249710083008	-0.0	0.2
2	57.21750585141336	-30.305867762873653	0.0	64.64152193813071	-46.351981292087146	1	8.660249710083008	5.0	0.0	0.2
2	57.21750585141336	-62.398094821300624	0.0	64.64152193813071	-46.351981292087146	1	-8.660249710083008	5.0	-0.0	0.2
2	46.351981292087146	-46.351981292087146	0.0	64.64152193813071	-46.351981292087146	1	-0.0	-4.5258002281188965	-0.0	0.2
3	16.046113529213482	-35.48645673276092	0.0	28.062440646043573	-46.351981292087146	1	5.0	8.660249710083008	0.0	-0.2
3	16.046113529213482	-57.21750585141336	0.0	28.062440646043573	-46.351981292087146	1	5.0	-8.660249710083008	-0.0	-0.2
3	35.48645673276092	-30.305867762873653	0.0	28.062440646043573	-46.351981292087146	1	-8.660249710083008	5.0	0.0	-0.2
3	35.48645673276092	-62.398094821300624	0.0	28.062440646043573	-46.351981292087146	1	8.660249710083008	5.0	0.0	-0.2
3	46.351981292087146	-46.351981292087146	0.0	28.062440646043573	-46.351981292087146	1	-0.0	-4.5258002281188965	-0.0	-0.2
4	123.00983034704794	10.865524559326222	0.0	110.99350323021784	0.0	1	5.0	-8.660249710083008	-0.0	0.2
4	123.00983034704794	-10.865524559326222	0.0	110.99350323021784	0.0	1	-5.0	-8.660249710083008	-0.0	0.2
