Exp	frame	abs_C	err	time(s)	field(mT)	time	mT
5.0	190000	0.4203810927458557	0.026518872361442163	1900.0	23.75	1900.0	19.0
5.0	185000	0.4227216505690207	0.026643589693161475	1850.0	23.125	1850.0	18.5
5.0	210000	0.4126329087264513	0.026069449970092952	2100.0	25.0	2100.0	21.0
5.0	175000	0.4279999999992785	0.027048409975301863	1750.0	21.875	1750.0	17.5
5.0	180000	0.4253276488228964	0.026801525396298896	1800.0	22.5	1800.0	18.0
5.0	135000	0.4409789473677592	0.02810002517036793	1350.0	16.875	1350.0	13.5
5.0	140000	0.4408928195403041	0.027948022295910917	1400.0	17.5	1400.0	14.0
5.0	145000	0.4393052631572431	0.02785767011427101	1450.0	18.125	1450.0	14.5
5.0	150000	0.4370966892987611	0.027735393226419932	1500.0	18.75	1500.0	15.0
5.0	130000	0.44101052631512827	0.028160933450031355	1300.0	16.25	1300.0	13.0
5.0	160000	0.4351473684203647	0.02750594340690797	1600.0	20.0	1600.0	16.0
5.0	165000	0.4325894736835148	0.027364095625203432	1650.0	20.625	1650.0	16.5
5.0	170000	0.4298857834615832	0.02716685321955701	1700.0	21.25	1700.0	17.0
5.0	155000	0.4362459206225439	0.02766949522357081	1550.0	19.375	1550.0	15.5
5.0	120000	0.4392105263151233	0.028152181212566074	1200.0	15.0	1200.0	12.0
10.0	185000	0.45997789124543703	0.02851069215113653	1850.0	23.125	1850.0	18.5
10.0	140000	0.4629296278746002	0.02909887390481077	1400.0	17.5	1400.0	14.0
10.0	145000	0.4646981420069325	0.029094819214894093	1450.0	18.125	1450.0	14.5
10.0	150000	0.4657542899247242	0.028999059327467807	1500.0	18.75	1500.0	15.0
10.0	155000	0.4644695972619184	0.028944936962720026	1550.0	19.375	1550.0	15.5
10.0	160000	0.4645402389594321	0.028890652036351883	1600.0	20.0	1600.0	16.0
10.0	165000	0.4634664982362233	0.02876696868266338	1650.0	20.625	1650.0	16.5
10.0	170000	0.4628066112216964	0.0286851506371255	1700.0	21.25	1700.0	17.0
10.0	175000	0.4625473684205228	0.028711972114542076	1750.0	21.875	1750.0	17.5
10.0	180000	0.4618801979150343	0.028659765760849963	1800.0	22.5	1800.0	18.0
