frame	abs_C	err	time(s)	field(mT)
0	0.3764421052621756	0.024402129339302837	0.0	0.0
5000	0.3762842105253312	0.024402325385288068	50.0	0.625
10000	0.3761157894726957	0.024431723492583275	100.0	1.25
15000	0.3764736842095368	0.02443864184909982	150.0	1.875
20000	0.3766105263148043	0.024446845608352214	200.0	2.5
25000	0.3772947368411279	0.024515204298623035	250.0	3.125
30000	0.3781999999990265	0.0245731612087414	300.0	3.75
35000	0.3791157894727139	0.024632447715179005	350.0	4.375
40000	0.38022105263061223	0.024692777219168346	400.0	5.0
45000	0.3814421052622003	0.024778838873271772	450.0	5.625
50000	0.38326315789379106	0.024876578211261886	500.0	6.25
55000	0.3853684210516899	0.02500124914434233	550.0	6.875
60000	0.3888315789464456	0.025221924699163047	600.0	7.5
65000	0.39250526315699236	0.02545811038825945	650.0	8.125
70000	0.396421052630689	0.02575270311408423	700.0	8.75
75000	0.40249473684124587	0.026056300771313122	750.0	9.375
80000	0.4070214221792775	0.0263472729233789	800.0	10.0
85000	0.41309542607423994	0.0267241308036577	850.0	10.625
90000	0.41894836570267063	0.027102334210639935	900.0	11.25
95000	0.4241263157887157	0.027390240281557104	950.0	11.875
100000	0.42909473684137356	0.02764972708105312	1000.0	12.5
105000	0.43276842105191465	0.027878742640373506	1050.0	13.125
110000	0.43529473684140063	0.02800769813147484	1100.0	13.75
115000	0.43742105263089626	0.028119683485762187	1150.0	14.375
120000	0.4392105263151233	0.028152181212566074	1200.0	15.0
125000	0.44015789473617817	0.028137327178337935	1250.0	15.625
130000	0.44101052631512827	0.028160933450031355	1300.0	16.25
135000	0.4409789473677592	0.028100025170367932	1350.0	16.875
140000	0.44089281954030424	0.027948022295910913	1400.0	17.5
145000	0.4393052631572431	0.02785767011427101	1450.0	18.125
150000	0.4370966892987611	0.027735393226419935	1500.0	18.75
155000	0.43624592062254386	0.02766949522357081	1550.0	19.375
160000	0.4351473684203647	0.027505943406907974	1600.0	20.0
165000	0.4325894736835148	0.02736409562520343	1650.0	20.625
170000	0.42988578346158324	0.02716685321955701	1700.0	21.25
175000	0.42799999999927846	0.027048409975301863	1750.0	21.875
180000	0.42532764882289636	0.026801525396298896	1800.0	22.5
185000	0.4227216505690207	0.026643589693161475	1850.0	23.125
190000	0.4203810927458557	0.026518872361442163	1900.0	23.75
195000	0.4183368869928398	0.026461743862230082	1950.0	24.375
200000	0.4142428548863235	0.02621069943796216	2000.0	25.0
205000	0.41390526315710846	0.0261865080448302	2050.0	25.0
210000	0.4126329087264513	0.026069449970092952	2100.0	25.0
215000	0.4129066217488658	0.026030928914533312	2150.0	25.0
220000	0.4109900521072067	0.025898374841920507	2200.0	25.0
225000	0.4120663332447968	0.02595479834670359	2250.0	25.0
230000	0.41101342458460904	0.0259221373565583	2300.0	25.0
235000	0.41172816760460706	0.025858259859578892	2350.0	25.0
240000	0.411185682325814	0.025884940250226623	2400.0	25.0
245000	0.4121381198012804	0.025909781998537433	2450.0	25.0
250000	0.4102005368695622	0.02582019274066194	2500.0	25.0
