frame	Chi	count	err	time(s)	field(mT)
0	-1.0	0.034078947368421056	0.0016021610779969947	0.0	0.0
0	-0.6	0.16455263157894737	0.003252922602117632	0.0	0.0
0	-0.2	0.3303421052631579	0.005470157347200519	0.0	0.0
0	0.2	0.32455263157894737	0.004839712725587195	0.0	0.0
0	0.6	0.16594736842105265	0.003610432055588002	0.0	0.0
0	1.0	0.03315789473684211	0.0023159237340242764	0.0	0.0
5000	-1.0	0.03381578947368421	0.0015574303674043123	50.0	0.625
5000	-0.6	0.16465789473684211	0.0032459635871026704	50.0	0.625
5000	-0.2	0.33063157894736844	0.005358323310122266	50.0	0.625
5000	0.2	0.3247631578947368	0.004517297050046943	50.0	0.625
5000	0.6	0.1654736842105263	0.0036657123456377548	50.0	0.625
5000	1.0	0.03328947368421053	0.0024031497271292082	50.0	0.625
10000	-1.0	0.033868421052631575	0.001574487974096817	100.0	1.25
10000	-0.6	0.1650263157894737	0.0031600086909359393	100.0	1.25
10000	-0.2	0.330078947368421	0.0052785823926914084	100.0	1.25
10000	0.2	0.3246315789473684	0.004598191593836763	100.0	1.25
10000	0.6	0.16581578947368422	0.003655026733071826	100.0	1.25
10000	1.0	0.033210526315789475	0.002328946609865945	100.0	1.25
15000	-1.0	0.03418421052631579	0.0016245865549002298	150.0	1.875
15000	-0.6	0.16463157894736843	0.0032412033005404725	150.0	1.875
15000	-0.2	0.3295526315789474	0.005389337372823052	150.0	1.875
15000	0.2	0.32560526315789473	0.004562839737811235	150.0	1.875
15000	0.6	0.16560526315789473	0.003478215724076376	150.0	1.875
15000	1.0	0.03305263157894737	0.002319947931210443	150.0	1.875
20000	-1.0	0.034078947368421056	0.0017335067085269991	200.0	2.5
20000	-0.6	0.16447368421052633	0.003586237599311826	200.0	2.5
20000	-0.2	0.3304736842105263	0.00592290817088584	200.0	2.5
20000	0.2	0.325	0.004618096282429156	200.0	2.5
20000	0.6	0.16531578947368422	0.003679373839125507	200.0	2.5
20000	1.0	0.03328947368421053	0.0023928357322043252	200.0	2.5
25000	-1.0	0.03455263157894737	0.0017689358171053468	250.0	3.125
25000	-0.6	0.16455263157894737	0.0034356973994370643	250.0	3.125
25000	-0.2	0.3295526315789474	0.0060689606008447325	250.0	3.125
25000	0.2	0.32449999999999996	0.004839187055536433	250.0	3.125
25000	0.6	0.16597368421052633	0.0033761512568399724	250.0	3.125
25000	1.0	0.0335	0.002279339770693508	250.0	3.125
30000	-1.0	0.03455263157894737	0.0017887982866454893	300.0	3.75
30000	-0.6	0.16531578947368422	0.003310363316279772	300.0	3.75
30000	-0.2	0.32889473684210524	0.005955390348609214	300.0	3.75
30000	0.2	0.3238157894736842	0.004514605602467478	300.0	3.75
30000	0.6	0.16642105263157894	0.0032133952070753044	300.0	3.75
30000	1.0	0.03363157894736842	0.0022808119172491106	300.0	3.75
35000	-1.0	0.03521052631578948	0.0017764102691984018	350.0	4.375
35000	-0.6	0.16526315789473683	0.0031273134350504376	350.0	4.375
35000	-0.2	0.32789473684210524	0.0054589003441518225	350.0	4.375
35000	0.2	0.3237631578947368	0.004638258353765764	350.0	4.375
35000	0.6	0.1663421052631579	0.0033309310223259237	350.0	4.375
35000	1.0	0.03415789473684211	0.002211280624204539	350.0	4.375
40000	-1.0	0.035736842105263164	0.0016351438826561894	400.0	5.0
40000	-0.6	0.16589473684210526	0.0031720057086886554	400.0	5.0
40000	-0.2	0.3261315789473684	0.005632834868037034	400.0	5.0
40000	0.2	0.3238684210526316	0.00449952259073957	400.0	5.0
40000	0.6	0.16628947368421051	0.003194261152976555	400.0	5.0
40000	1.0	0.034710526315789476	0.002114791140563585	400.0	5.0
45000	-1.0	0.036526315789473685	0.0015784102201257257	450.0	5.625
45000	-0.6	0.1665	0.0031399530598294066	450.0	5.625
45000	-0.2	0.32423684210526316	0.005506004564863924	450.0	5.625
45000	0.2	0.32313157894736844	0.004909643459893314	450.0	5.625
45000	0.6	0.16707894736842105	0.003174956148208877	450.0	5.625
45000	1.0	0.0351578947368421	0.002083059604758503	450.0	5.625
50000	-1.0	0.03747368421052632	0.0016922305022033736	500.0	6.25
50000	-0.6	0.16689473684210526	0.0035309938990443586	500.0	6.25
50000	-0.2	0.3227894736842105	0.005849121496860527	500.0	6.25
50000	0.2	0.3218157894736842	0.004736014070125763	500.0	6.25
50000	0.6	0.1676842105263158	0.003017090033234264	500.0	6.25
50000	1.0	0.03597368421052631	0.0021474854383567066	500.0	6.25
55000	-1.0	0.038263157894736846	0.001831795609245349	550.0	6.875
55000	-0.6	0.16805263157894737	0.003283872782765664	550.0	6.875
55000	-0.2	0.32076315789473686	0.00569600980270969	550.0	6.875
55000	0.2	0.3198684210526316	0.005072576604704374	550.0	6.875
55000	0.6	0.1688157894736842	0.003055595527633244	550.0	6.875
55000	1.0	0.03686842105263158	0.002109102969799061	550.0	6.875
60000	-1.0	0.03976315789473684	0.0018537494491386996	600.0	7.5
60000	-0.6	0.16968421052631577	0.0034690102982759953	600.0	7.5
60000	-0.2	0.3168684210526316	0.005452223120450028	600.0	7.5
60000	0.2	0.31792105263157894	0.005111876578395676	600.0	7.5
60000	0.6	0.1700263157894737	0.0032364578466037536	600.0	7.5
60000	1.0	0.03836842105263158	0.0021404814690193725	600.0	7.5
65000	-1.0	0.041710526315789476	0.0018669681647870535	650.0	8.125
65000	-0.6	0.17107894736842105	0.003425480485758615	650.0	8.125
65000	-0.2	0.3126052631578948	0.005385979636134015	650.0	8.125
65000	0.2	0.31605263157894736	0.005005085321689604	650.0	8.125
65000	0.6	0.17071052631578948	0.002935955442498564	650.0	8.125
65000	1.0	0.04047368421052632	0.0022074424809082056	650.0	8.125
70000	-1.0	0.04397368421052632	0.0019041455439906415	700.0	8.75
70000	-0.6	0.1725	0.003273322324674438	700.0	8.75
70000	-0.2	0.30957894736842106	0.004850236016644129	700.0	8.75
70000	0.2	0.3117105263157895	0.005076058126462693	700.0	8.75
70000	0.6	0.1713421052631579	0.00303242739723443	700.0	8.75
70000	1.0	0.043526315789473684	0.0021197140979057044	700.0	8.75
75000	-1.0	0.047052631578947374	0.0018656618709575617	750.0	9.375
75000	-0.6	0.17363157894736841	0.0033938437113530816	750.0	9.375
