frame	type	coordination	number	fraction	err	time
0	Q = +1	3	295.5	0.369375	0.0049062389419549796	0.0
0	Q = +2	4	90.4	0.2504155124653739	0.005798824918968637	0.0
0	Q = +3	3	101.9	0.12737500000000002	0.0045278842864091735	0.0
0	Q = +4	4	21.5	0.059556786703601095	0.005695723181270963	0.0
0	Q = -1	3	305.8	0.38225	0.0053026460899776775	0.0
0	Q = -2	4	90.8	0.2515235457063712	0.008328696054500229	0.0
0	Q = -3	3	96.8	0.121	0.0033008837200563914	0.0
0	Q = -4	4	21.0	0.05817174515235457	0.003939192799206194	0.0
0	Q = 0	4	137.3	0.38033240997229917	0.006620569444226539	0.0
1000	Q = +1	3	295.6	0.36949999999999994	0.0050901593513584765	10.0
1000	Q = +2	4	90.4	0.2504155124653739	0.005798824918968637	10.0
1000	Q = +3	3	101.8	0.12725	0.0045483513496650625	10.0
1000	Q = +4	4	21.5	0.059556786703601095	0.005695723181270963	10.0
1000	Q = -1	3	305.8	0.38225000000000003	0.005361255035488943	10.0
1000	Q = -2	4	90.7	0.2512465373961219	0.00825930831904464	10.0
1000	Q = -3	3	96.8	0.12100000000000002	0.0032691742076555045	10.0
1000	Q = -4	4	21.0	0.05817174515235457	0.003939192799206194	10.0
1000	Q = 0	4	137.4	0.38060941828254846	0.00683786097195702	10.0
2000	Q = +1	3	295.7	0.369625	0.004877136284063973	20.0
2000	Q = +2	4	90.4	0.2504155124653739	0.005986912309306493	20.0
2000	Q = +3	3	101.9	0.12737500000000002	0.00444663574452017	20.0
2000	Q = +4	4	21.5	0.059556786703601095	0.005589957845859765	20.0
2000	Q = -1	3	305.3	0.381625	0.004725264542858949	20.0
2000	Q = -2	4	90.6	0.25096952908587256	0.008104564453367201	20.0
2000	Q = -3	3	97.1	0.12137499999999998	0.00316474722529304	20.0
2000	Q = -4	4	21.1	0.058448753462603885	0.0039489205503865366	20.0
2000	Q = 0	4	137.4	0.38060941828254846	0.006622500859479631	20.0
3000	Q = +1	3	297.0	0.37125	0.004495367986420389	30.0
3000	Q = +2	4	90.7	0.25124653739612185	0.0056927285842283855	30.0
3000	Q = +3	3	101.2	0.1265	0.004393018451032401	30.0
3000	Q = +4	4	21.4	0.05927977839335179	0.0055123957734438764	30.0
3000	Q = -1	3	304.8	0.381	0.004529226080567066	30.0
3000	Q = -2	4	91.0	0.25207756232686984	0.007725392673444839	30.0
3000	Q = -3	3	97.0	0.12125	0.00323822653795424	30.0
3000	Q = -4	4	21.0	0.05817174515235457	0.004024837436325645	30.0
3000	Q = 0	4	136.9	0.37922437673130194	0.006089284245169912	30.0
4000	Q = +1	3	295.4	0.36924999999999997	0.004920196473041836	40.0
4000	Q = +2	4	90.7	0.2512465373961219	0.006263219901056924	40.0
4000	Q = +3	3	102.1	0.127625	0.004015810766347328	40.0
4000	Q = +4	4	21.5	0.059556786703601115	0.0053880311951597995	40.0
4000	Q = -1	3	304.5	0.38062500000000005	0.0050561087914631625	40.0
4000	Q = -2	4	91.1	0.2523545706371191	0.007641614528605942	40.0
4000	Q = -3	3	98.0	0.12250000000000001	0.003227486121839514	40.0
4000	Q = -4	4	20.7	0.057340720221606654	0.0038748172222266455	40.0
4000	Q = 0	4	137.0	0.3795013850415513	0.006696755074596026	40.0
5000	Q = +1	3	297.0	0.37124999999999997	0.004790760783934935	50.0
5000	Q = +2	4	89.7	0.24847645429362886	0.006357795008347925	50.0
5000	Q = +3	3	101.4	0.12675	0.004204825270514289	50.0
5000	Q = +4	4	21.9	0.06066481994459834	0.005422731988929279	50.0
5000	Q = -1	3	304.4	0.38050000000000006	0.0052314487052398315	50.0
5000	Q = -2	4	91.9	0.25457063711911354	0.00719333211581249	50.0
5000	Q = -3	3	97.2	0.12150000000000001	0.0034550687402713125	50.0
5000	Q = -4	4	20.5	0.05678670360110803	0.0037450230453690207	50.0
5000	Q = 0	4	137.0	0.37950138504155123	0.007432912944597641	50.0
6000	Q = +1	3	297.0	0.37124999999999997	0.0047177266182393904	60.0
6000	Q = +2	4	90.1	0.24958448753462598	0.006363156843590047	60.0
6000	Q = +3	3	101.8	0.12725	0.004297124361451246	60.0
6000	Q = +4	4	21.8	0.06038781163434903	0.0052849817253016376	60.0
6000	Q = -1	3	303.4	0.37925	0.004711098008367523	60.0
6000	Q = -2	4	91.6	0.25373961218836566	0.0071427810178443995	60.0
6000	Q = -3	3	97.8	0.12225	0.0034349106409208244	60.0
