field	type	mean	err	time
0.0	Q = +1	0.37472283813747226	0.006870036977751514	0.0
0.0	Q = +2	0.24	0.007611989676246006	0.0
0.0	Q = +3	0.12350332594235032	0.004508499630450852	0.0
0.0	Q = +4	0.057333333333333326	0.0035338845753708336	0.0
0.0	Q = -1	0.3769401330376941	0.004219985934551423	0.0
0.0	Q = -2	0.24755555555555558	0.007526450842003284	0.0
0.0	Q = -3	0.12483370288248337	0.0038836081760294603	0.0
0.0	Q = -4	0.05244444444444444	0.0022758950364055127	0.0
0.0	Q = 0	0.4026666666666666	0.008794561232388639	0.0
3378.3783783783783	Q = +1	0.37468688200395517	0.007153257108967844	33.78378378378378
3378.3783783783783	Q = +2	0.2415015015015015	0.007684835348396842	33.78378378378378
3378.3783783783783	Q = +3	0.12259243722658357	0.004545586551242457	33.78378378378378
3378.3783783783783	Q = +4	0.057777777777777775	0.003378297555849297	33.78378378378378
3378.3783783783783	Q = -1	0.3780787439324024	0.004124026691388498	33.78378378378378
3378.3783783783783	Q = -2	0.24527327327327333	0.007214798582347891	33.78378378378378
3378.3783783783783	Q = -3	0.12464193683705879	0.0038868228000450296	33.78378378378378
3378.3783783783783	Q = -4	0.05305705705705706	0.002324464856822821	33.78378378378378
3378.3783783783783	Q = 0	0.4023903903903904	0.009271451756630855	33.78378378378378
6756.756756756757	Q = +1	0.37255947743752615	0.006494491348982663	67.56756756756756
6756.756756756757	Q = +2	0.24289489489489488	0.00803711327432798	67.56756756756756
6756.756756756757	Q = +3	0.1233355306526038	0.004231642324608843	67.56756756756756
6756.756756756757	Q = +4	0.057777777777777775	0.003316611044081991	67.56756756756756
6756.756756756757	Q = -1	0.3782765026667466	0.003982742338327366	67.56756756756756
6756.756756756757	Q = -2	0.2414294294294294	0.007536434361681453	67.56756756756756
6756.756756756757	Q = -3	0.12582848924312337	0.004106214566824607	67.56756756756756
6756.756756756757	Q = -4	0.05478678678678679	0.0028392567154122096	67.56756756756756
6756.756756756757	Q = 0	0.4031111111111111	0.00894077956001278	67.56756756756756
10135.135135135135	Q = +1	0.37253550668184815	0.006901926963097283	101.35135135135135
10135.135135135135	Q = +2	0.24601801801801804	0.008303254972734571	101.35135135135135
10135.135135135135	Q = +3	0.1232516330077306	0.00415288537951068	101.35135135135135
10135.135135135135	Q = +4	0.05733333333333333	0.00371553665303243	101.35135135135135
10135.135135135135	Q = -1	0.37887577155869845	0.004275578580150349	101.35135135135135
10135.135135135135	Q = -2	0.24418018018018017	0.006797633812074659	101.35135135135135
10135.135135135135	Q = -3	0.1253370887517229	0.0040280227074144595	101.35135135135135
10135.135135135135	Q = -4	0.054606606606606614	0.002762658308509799	101.35135135135135
10135.135135135135	Q = 0	0.3978618618618618	0.009433807314343868	101.35135135135135
13513.513513513513	Q = +1	0.37040210942649965	0.0061830847146382905	135.13513513513513
13513.513513513513	Q = +2	0.24800000000000005	0.008357579339479762	135.13513513513513
13513.513513513513	Q = +3	0.12328758914124767	0.00391625315801789	135.13513513513513
13513.513513513513	Q = +4	0.05732132132132132	0.004055832726880851	135.13513513513513
13513.513513513513	Q = -1	0.38202193324144545	0.004423614817813982	135.13513513513513
13513.513513513513	Q = -2	0.24554954954954958	0.007538547510458249	135.13513513513513
13513.513513513513	Q = -3	0.1242883681908072	0.004014097700031389	135.13513513513513
13513.513513513513	Q = -4	0.053993993993993995	0.0029095226720264426	135.13513513513513
13513.513513513513	Q = 0	0.39513513513513515	0.009130766584791962	135.13513513513513
16891.891891891893	Q = +1	0.3718403547671841	0.00594254303507075	168.91891891891893
16891.891891891893	Q = +2	0.25012612612612617	0.009065900667847824	168.91891891891893
16891.891891891893	Q = +3	0.12244262000359563	0.004146401855644464	168.91891891891893
16891.891891891893	Q = +4	0.05654054054054054	0.0037740599907923277	168.91891891891893
16891.891891891893	Q = -1	0.38039192185533655	0.0045570817006017495	168.91891891891893
16891.891891891893	Q = -2	0.2421621621621622	0.007861584268448223	168.91891891891893
16891.891891891893	Q = -3	0.12532510337388386	0.0037394256144054824	168.91891891891893
16891.891891891893	Q = -4	0.054570570570570576	0.0031239469153004017	168.91891891891893
16891.891891891893	Q = 0	0.39660060060060054	0.01016805839054121	168.91891891891893
20270.27027027027	Q = +1	0.37127704200874934	0.006144013062084518	202.7027027027027
20270.27027027027	Q = +2	0.25090690690690687	0.009072560630904952	202.7027027027027
20270.27027027027	Q = +3	0.12406663870078505	0.0037585627036545487	202.7027027027027
20270.27027027027	Q = +4	0.05507507507507507	0.0039143209494217086	202.7027027027027
20270.27027027027	Q = -1	0.3782705099778271	0.00472280497982136	202.7027027027027
20270.27027027027	Q = -2	0.24420420420420422	0.007766715097449273	202.7027027027027
20270.27027027027	Q = -3	0.12638580931263857	0.003405713062700548	202.7027027027027
20270.27027027027	Q = -4	0.05466666666666666	0.0028917364882878717	202.7027027027027
20270.27027027027	Q = 0	0.39514714714714716	0.011069665598174789	202.7027027027027
23648.648648648646	Q = +1	0.3684604782165758	0.0063670279089514436	236.48648648648646
23648.648648648646	Q = +2	0.25000600600600603	0.009608192254500348	236.48648648648646
23648.648648648646	Q = +3	0.1256307305087793	0.003823224901217593	236.48648648648646
23648.648648648646	Q = +4	0.0547987987987988	0.0025554706670650957	236.48648648648646
23648.648648648646	Q = -1	0.38221369928687	0.004439437090175269	236.48648648648646
23648.648648648646	Q = -2	0.24468468468468468	0.007761532227831361	236.48648648648646
23648.648648648646	Q = -3	0.12369509198777492	0.0033282234688385972	236.48648648648646
