theta	coordination	err	fraction*charge	theta_deg
0.5235987755982988	3	0.004537995346628844	-0.09676190476190492	29.999999999999996
0.5235987755982988	4	0.007462673850379617	0.1875555555555556	29.999999999999996
0.4924321818126858	3	0.004857766968089172	-0.03928888888888901	28.21428571428571
0.4924321818126858	4	0.006931964293948486	0.07022222222222221	28.21428571428571
0.4612655880270728	3	0.004466898902633809	0.024533333333333397	26.428571428571427
0.4612655880270728	4	0.006531185549162851	-0.048000000000000036	26.428571428571427
0.43009899424145975	3	0.0043399405539334855	0.06871111111111126	24.64285714285714
0.43009899424145975	4	0.0060965601768193005	-0.1429333333333333	24.64285714285714
0.3989324004558467	3	0.00542979519833528	0.1586666666666669	22.857142857142858
0.3989324004558467	4	0.007357978946597895	-0.31928888888888896	22.857142857142858
0.3677658066702337	3	0.005246658127498723	0.2978390804597699	21.07142857142857
0.3677658066702337	4	0.007775292501407197	-0.6019555555555555	21.07142857142857
0.3365992128846207	3	0.006593503167302815	0.4305714285714285	19.28571428571429
0.3365992128846207	4	0.009070026534633444	-0.8606222222222224	19.28571428571429
0.30543261909900765	3	0.0063845589023809	0.5693333333333331	17.5
0.30543261909900765	4	0.007878872377073999	-1.146488888888889	17.5
0.2742660253133946	3	0.006043905290470278	0.6930476190476191	15.714285714285712
0.2742660253133946	4	0.007748322401243499	-1.3873777777777778	15.714285714285712
0.24309943152778166	3	0.006867745378746815	0.7966222222222222	13.92857142857143
0.24309943152778166	4	0.008801702164455137	-1.6060444444444444	13.92857142857143
0.2119328377421686	3	0.0077918996963304	0.8804597701149428	12.142857142857144
0.2119328377421686	4	0.0076810044670429485	-1.7683555555555552	12.142857142857144
0.18076624395655555	3	0.007705598369318736	0.9573333333333334	10.357142857142856
0.18076624395655555	4	0.00839367818436146	-1.9125333333333332	10.357142857142856
0.14959965017094254	3	0.007833437067936936	1.02151724137931	8.571428571428571
0.14959965017094254	4	0.006909683958896624	-2.0403555555555557	8.571428571428571
0.11843305638532953	3	0.007254469132462891	1.0766666666666669	6.785714285714287
0.11843305638532953	4	0.00844594701059912	-2.1562666666666663	6.785714285714287
0.08726646259971647	3	0.007541145753351405	1.135333333333333	5.0
0.08726646259971647	4	0.008532490069549016	-2.2750222222222223	5.0
0.0	3	0.00673568910432136	1.2934375	0.0
0.0	4	0.008544726586032109	-2.6053125	0.0
