frame	Chi	count	err	time(s)	field(mT)
35000	-0.2	0.3293947368421053	0.005330934440099186	350.0	4.375
35000	0.2	0.32523684210526316	0.005636396596177902	350.0	4.375
35000	0.6	0.1661578947368421	0.003654591697732139	350.0	4.375
35000	1.0	0.033473684210526315	0.0016561846498957431	350.0	4.375
40000	-1.0	0.033078947368421055	0.0022743739505585877	400.0	5.0
40000	-0.6	0.16557894736842108	0.00458766778293556	400.0	5.0
40000	-0.2	0.3295263157894737	0.005550787207493455	400.0	5.0
40000	0.2	0.32423684210526316	0.0059602118387294244	400.0	5.0
40000	0.6	0.16626315789473683	0.003575146462129485	400.0	5.0
40000	1.0	0.03394736842105263	0.0017752960831755777	400.0	5.0
45000	-1.0	0.033999999999999996	0.0023057712215220324	450.0	5.625
45000	-0.6	0.16555263157894737	0.0046048334923086635	450.0	5.625
45000	-0.2	0.32860526315789473	0.005803864791221723	450.0	5.625
45000	0.2	0.3228421052631579	0.006204579431725076	450.0	5.625
45000	0.6	0.16707894736842105	0.003747622533896153	450.0	5.625
45000	1.0	0.03455263157894737	0.0018123459307281971	450.0	5.625
50000	-1.0	0.03507894736842106	0.0024732299557776033	500.0	6.25
50000	-0.6	0.16636842105263158	0.004687323215427557	500.0	6.25
50000	-0.2	0.32710526315789473	0.00570202979312278	500.0	6.25
50000	0.2	0.32021052631578945	0.006062873695451766	500.0	6.25
50000	0.6	0.1683421052631579	0.003648176164427947	500.0	6.25
50000	1.0	0.035526315789473684	0.001763314195422342	500.0	6.25
55000	-1.0	0.03607894736842105	0.002338832360000579	550.0	6.875
55000	-0.6	0.16728947368421054	0.0043882101306601294	550.0	6.875
55000	-0.2	0.3251578947368421	0.005840174442158361	550.0	6.875
55000	0.2	0.31855263157894737	0.006046820401841745	550.0	6.875
55000	0.6	0.1686315789473684	0.0034305000511497506	550.0	6.875
55000	1.0	0.03692105263157895	0.0017379036888521555	550.0	6.875
60000	-1.0	0.037815789473684205	0.0023684359708325965	600.0	7.5
60000	-0.6	0.16871052631578948	0.004031759902045169	600.0	7.5
60000	-0.2	0.32326315789473686	0.005748586211245262	600.0	7.5
60000	0.2	0.3132105263157895	0.005751977983336422	600.0	7.5
60000	0.6	0.17102631578947367	0.0038046988720132763	600.0	7.5
60000	1.0	0.03860526315789473	0.0020203225778193173	600.0	7.5
65000	-1.0	0.039815789473684214	0.0022647216888866313	650.0	8.125
65000	-0.6	0.1711578947368421	0.004302696862895178	650.0	8.125
65000	-0.2	0.3183684210526316	0.006347686194046643	650.0	8.125
65000	0.2	0.3096052631578947	0.006192318199259071	650.0	8.125
65000	0.6	0.17284210526315788	0.0034962001776303216	650.0	8.125
65000	1.0	0.040842105263157895	0.0021065382819377538	650.0	8.125
70000	-1.0	0.04289473684210526	0.002212941752294953	700.0	8.75
70000	-0.6	0.17205263157894735	0.004004738840275568	700.0	8.75
70000	-0.2	0.31365789473684214	0.006090277777553957	700.0	8.75
70000	0.2	0.306078947368421	0.006585866393882003	700.0	8.75
70000	0.6	0.17510526315789474	0.0039220815553236196	700.0	8.75
70000	1.0	0.0428421052631579	0.0021696647909278067	700.0	8.75
75000	-1.0	0.04660526315789473	0.0023925994640034355	750.0	9.375
75000	-0.6	0.17400000000000002	0.004025857685444696	750.0	9.375
75000	-0.2	0.3077368421052632	0.00552749207470037	750.0	9.375
75000	0.2	0.3006578947368421	0.006363968803469997	750.0	9.375
75000	0.6	0.1774736842105263	0.004025050172110839	750.0	9.375
75000	1.0	0.046157894736842106	0.0021213803042799666	750.0	9.375
80000	-1.0	0.051000000000000004	0.0024371806711977985	800.0	10.0
