theta	coordination	number	fraction	err	time	charge	fraction*charge	theta_deg
0.5235987755982988	3	420.0	1.0	0.004537995346628844	10000	0	-0.09676190476190491	29.999999999999996
0.5235987755982988	4	225.0	1.0	0.007462673850379617	10000	4	0.1875555555555556	29.999999999999996
0.4924321818126858	3	450.0	0.9999999999999999	0.004857766968089172	10000	0	-0.03928888888888901	28.21428571428571
0.4924321818126858	4	225.0	0.9999999999999999	0.006931964293948486	12500	0	0.07022222222222221	28.21428571428571
0.4612655880270728	3	450.0	1.0000000000000004	0.004466898902633809	10000	0	0.024533333333333393	26.428571428571427
0.4612655880270728	4	225.0	1.0	0.006531185549162851	12500	0	-0.04800000000000004	26.428571428571427
0.43009899424145975	3	450.0	1.0000000000000002	0.004339940553933485	10000	0	0.06871111111111126	24.64285714285714
0.43009899424145975	4	225.0	1.0	0.006096560176819301	10000	-4	-0.1429333333333333	24.64285714285714
0.3989324004558467	3	420.0	1.0	0.00542979519833528	10000	0	0.1586666666666669	22.857142857142858
0.3989324004558467	4	225.0	1.0000000000000002	0.007357978946597896	10000	-4	-0.31928888888888896	22.857142857142858
0.36776580667023373	3	435.0	1.0	0.005246658127498723	10000	0	0.29783908045976987	21.071428571428573
0.36776580667023373	4	225.0	1.0000000000000002	0.007775292501407197	10000	-4	-0.6019555555555555	21.071428571428573
0.3365992128846207	3	420.0	1.0000000000000002	0.006593503167302816	10000	0	0.43057142857142844	19.28571428571429
0.3365992128846207	4	225.0	1.0	0.009070026534633444	10000	-4	-0.8606222222222224	19.28571428571429
0.30543261909900765	3	420.00000000000006	1.0000000000000002	0.0063845589023809	10000	0	0.5693333333333331	17.5
0.30543261909900765	4	225.0	1.0	0.007878872377073999	10000	-4	-1.1464888888888887	17.5
0.2742660253133946	3	420.00000000000006	1.0000000000000002	0.006043905290470277	10000	0	0.6930476190476191	15.714285714285712
0.2742660253133946	4	225.0	1.0	0.007748322401243499	10000	-4	-1.3873777777777778	15.714285714285712
0.24309943152778163	3	449.99999999999994	0.9999999999999999	0.006867745378746815	10000	0	0.7966222222222222	13.928571428571429
0.24309943152778163	4	225.0	1.0	0.008801702164455137	10000	-4	-1.6060444444444444	13.928571428571429
0.2119328377421686	3	435.0	1.0	0.0077918996963304	10000	0	0.8804597701149428	12.142857142857144
0.2119328377421686	4	225.0	0.9999999999999998	0.007681004467042948	10000	-4	-1.7683555555555552	12.142857142857144
0.18076624395655555	3	450.0	1.0000000000000002	0.007705598369318736	10000	0	0.9573333333333334	10.357142857142856
0.18076624395655555	4	225.0	1.0	0.00839367818436146	7500	-6	-1.9125333333333334	10.357142857142856
0.14959965017094257	3	435.0	0.9999999999999999	0.007833437067936936	10000	0	1.02151724137931	8.571428571428573
0.14959965017094257	4	225.0	0.9999999999999999	0.006909683958896624	10000	-4	-2.0403555555555553	8.571428571428573
0.11843305638532953	3	420.0	1.0	0.007254469132462891	7500	3	1.0766666666666667	6.785714285714287
0.11843305638532953	4	225.0	1.0	0.008445947010599118	7500	-6	-2.1562666666666663	6.785714285714287
0.08726646259971647	3	420.0	1.0000000000000002	0.007541145753351405	10000	0	1.135333333333333	5.0
0.08726646259971647	4	225.0	0.9999999999999999	0.008532490069549016	7500	-6	-2.2750222222222223	5.0
