frame	type	coordination	number	fraction	err	time	mT
0	Q = +2	4	55.0	0.2444444444444445	0.01361029224042175	0.0	0.0
0	Q = +4	4	14.7	0.06533333333333333	0.005927777488516311	0.0	0.0
0	Q = -2	4	59.9	0.26622222222222225	0.010316260953216996	0.0	0.0
0	Q = -4	4	13.2	0.058666666666666666	0.005806197908819384	0.0	0.0
0	Q = 0	4	82.2	0.3653333333333333	0.012302541921201005	0.0	0.0
1000	Q = +2	4	55.0	0.2444444444444445	0.01361029224042175	10.0	0.125
1000	Q = +4	4	14.7	0.06533333333333333	0.005927777488516311	10.0	0.125
1000	Q = -2	4	59.9	0.26622222222222225	0.010316260953216996	10.0	0.125
1000	Q = -4	4	13.2	0.058666666666666666	0.005806197908819384	10.0	0.125
1000	Q = 0	4	82.2	0.3653333333333333	0.012302541921201005	10.0	0.125
2000	Q = +2	4	55.0	0.2444444444444445	0.01361029224042175	20.0	0.25
2000	Q = +4	4	14.6	0.06488888888888887	0.006079491712202426	20.0	0.25
2000	Q = -2	4	59.7	0.2653333333333333	0.010307747429214193	20.0	0.25
2000	Q = -4	4	13.2	0.058666666666666666	0.005806197908819384	20.0	0.25
2000	Q = 0	4	82.5	0.36666666666666653	0.011365000541635951	20.0	0.25
3000	Q = +2	4	54.9	0.24400000000000005	0.013455408242559455	30.0	0.375
3000	Q = +4	4	14.7	0.06533333333333333	0.005964688041243671	30.0	0.375
3000	Q = -2	4	59.5	0.2644444444444444	0.010438926832564631	30.0	0.375
3000	Q = -4	4	13.3	0.0591111111111111	0.00566267106773819	30.0	0.375
3000	Q = 0	4	82.6	0.3671111111111111	0.01128651671392054	30.0	0.375
4000	Q = +2	4	54.7	0.2431111111111111	0.013135152680484659	40.0	0.5
4000	Q = +4	4	14.6	0.0648888888888889	0.006006854794878013	40.0	0.5
4000	Q = -2	4	59.6	0.2648888888888889	0.010458881537613506	40.0	0.5
4000	Q = -4	4	13.1	0.058222222222222224	0.006015982371628727	40.0	0.5
4000	Q = 0	4	83.0	0.3688888888888889	0.010621302713442915	40.0	0.5
5000	Q = +2	4	54.8	0.24355555555555555	0.013030301290249494	50.0	0.625
5000	Q = +4	4	14.5	0.06444444444444444	0.006153054713272647	50.0	0.625
5000	Q = -2	4	59.8	0.2657777777777778	0.010781277273280144	50.0	0.625
5000	Q = -4	4	13.0	0.057777777777777775	0.00585138300981674	50.0	0.625
5000	Q = 0	4	82.9	0.3684444444444444	0.010935902538643304	50.0	0.625
6000	Q = +2	4	54.8	0.24355555555555555	0.01296275132102362	60.0	0.75
6000	Q = +4	4	14.5	0.06444444444444444	0.006153054713272647	60.0	0.75
6000	Q = -2	4	59.3	0.26355555555555554	0.010350245022049521	60.0	0.75
6000	Q = -4	4	13.1	0.058222222222222224	0.005979388465366093	60.0	0.75
6000	Q = 0	4	83.3	0.37022222222222223	0.011027836085301591	60.0	0.75
7000	Q = +2	4	54.5	0.2422222222222222	0.012765694770084506	70.0	0.875
7000	Q = +4	4	14.7	0.06533333333333333	0.006110100926607786	70.0	0.875
7000	Q = -2	4	59.8	0.2657777777777778	0.010720031120074393	70.0	0.875
7000	Q = -4	4	13.0	0.057777777777777775	0.00585138300981674	70.0	0.875
7000	Q = 0	4	83.0	0.3688888888888888	0.012053834433664002	70.0	0.875
8000	Q = +2	4	54.9	0.244	0.0131083905945029	80.0	1.0
8000	Q = +4	4	14.6	0.0648888888888889	0.006006854794878013	80.0	1.0
8000	Q = -2	4	59.5	0.2644444444444444	0.011031815816966791	80.0	1.0
8000	Q = -4	4	13.1	0.058222222222222224	0.005716675964911033	80.0	1.0
8000	Q = 0	4	82.9	0.3684444444444445	0.012837701677564406	80.0	1.0
9000	Q = +2	4	54.9	0.24399999999999994	0.012296296296296298	90.0	1.125
9000	Q = +4	4	14.5	0.06444444444444444	0.006153054713272647	90.0	1.125
9000	Q = -2	4	59.8	0.2657777777777778	0.011200627064554549	90.0	1.125
9000	Q = -4	4	13.2	0.058666666666666666	0.00561401342859153	90.0	1.125
9000	Q = 0	4	82.6	0.3671111111111111	0.012184228263675314	90.0	1.125
10000	Q = +2	4	55.2	0.2453333333333333	0.012740740740740742	100.0	1.25
10000	Q = +4	4	14.2	0.06311111111111113	0.006136982274728289	100.0	1.25
10000	Q = -2	4	59.6	0.2648888888888889	0.011536546568255871	100.0	1.25
10000	Q = -4	4	13.0	0.057777777777777775	0.005660732792457126	100.0	1.25
10000	Q = 0	4	83.0	0.3688888888888889	0.013117596219957723	100.0	1.25
11000	Q = +2	4	55.4	0.2462222222222222	0.0128675856299902	110.0	1.375
11000	Q = +4	4	14.2	0.06311111111111113	0.005806197908819384	110.0	1.375
11000	Q = -2	4	59.1	0.26266666666666666	0.010835090075986098	110.0	1.375
11000	Q = -4	4	13.1	0.058222222222222224	0.00563936779575534	110.0	1.375
11000	Q = 0	4	83.2	0.3697777777777778	0.013509941469840586	110.0	1.375
12000	Q = +2	4	55.5	0.2466666666666667	0.012149051456930904	120.0	1.5
12000	Q = +4	4	14.4	0.064	0.00589622184952071	120.0	1.5
12000	Q = -2	4	59.3	0.2635555555555556	0.011047720407408684	120.0	1.5
12000	Q = -4	4	13.3	0.05911111111111113	0.005584615355546893	120.0	1.5
12000	Q = 0	4	82.5	0.3666666666666668	0.012610009741432093	120.0	1.5
13000	Q = +2	4	55.5	0.2466666666666667	0.011726185626847341	130.0	1.625
13000	Q = +4	4	14.4	0.064	0.00589622184952071	130.0	1.625
13000	Q = -2	4	59.4	0.264	0.010809740057454642	130.0	1.625
13000	Q = -4	4	13.0	0.057777777777777775	0.005699373055310028	130.0	1.625
13000	Q = 0	4	82.7	0.3675555555555555	0.012847955434532632	130.0	1.625
14000	Q = +2	4	54.9	0.244	0.01282059385855996	140.0	1.75
14000	Q = +4	4	14.5	0.06444444444444444	0.0060086814194587395	140.0	1.75
14000	Q = -2	4	59.2	0.26311111111111113	0.009822568565481941	140.0	1.75
14000	Q = -4	4	13.0	0.057777777777777775	0.005888772419067197	140.0	1.75
14000	Q = 0	4	83.4	0.37066666666666653	0.012850517595378629	140.0	1.75
15000	Q = +2	4	54.7	0.24311111111111106	0.012675976652226504	150.0	1.875
15000	Q = +4	4	14.5	0.06444444444444444	0.00574730807148765	150.0	1.875
15000	Q = -2	4	58.9	0.2617777777777778	0.009837081659872016	150.0	1.875
15000	Q = -4	4	12.9	0.057333333333333326	0.005716675964911033	150.0	1.875
15000	Q = 0	4	84.0	0.3733333333333334	0.013431735652317787	150.0	1.875
16000	Q = +2	4	54.4	0.2417777777777778	0.012556811911358276	160.0	2.0
16000	Q = +4	4	14.2	0.06311111111111113	0.00613698227472829	160.0	2.0
16000	Q = -2	4	59.0	0.26222222222222225	0.010134892667547895	160.0	2.0
16000	Q = -4	4	13.0	0.057777777777777775	0.005423112657103148	160.0	2.0
16000	Q = 0	4	84.4	0.3751111111111111	0.014228393722717596	160.0	2.0
17000	Q = +2	4	54.1	0.2404444444444444	0.01273471002835058	170.0	2.125
17000	Q = +4	4	14.4	0.06399999999999999	0.006115486649051938	170.0	2.125
17000	Q = -2	4	58.8	0.2613333333333333	0.008684059786520206	170.0	2.125
17000	Q = -4	4	13.1	0.058222222222222224	0.005600313532277274	170.0	2.125
17000	Q = 0	4	84.6	0.376	0.014397073319414925	170.0	2.125
18000	Q = +2	4	54.4	0.24177777777777776	0.01260913945537968	180.0	2.25
18000	Q = +4	4	14.3	0.06355555555555556	0.005927777488516311	180.0	2.25
18000	Q = -2	4	58.5	0.25999999999999995	0.009041893048691631	180.0	2.25
18000	Q = -4	4	13.1	0.058222222222222224	0.0054814814814814795	180.0	2.25
18000	Q = 0	4	84.7	0.3764444444444445	0.013850861521342343	180.0	2.25
19000	Q = +2	4	54.7	0.2431111111111111	0.011999999999999995	190.0	2.375
19000	Q = +4	4	14.2	0.06311111111111113	0.005843876421723264	190.0	2.375
19000	Q = -2	4	58.3	0.2591111111111111	0.009181600256205137	190.0	2.375
19000	Q = -4	4	13.2	0.058666666666666666	0.00573009766098184	190.0	2.375
19000	Q = 0	4	84.6	0.376	0.013837385989731105	190.0	2.375
20000	Q = +2	4	55.1	0.2448888888888889	0.012561180865914942	200.0	2.5
20000	Q = +4	4	14.1	0.06266666666666668	0.005942569220779727	200.0	2.5
20000	Q = -2	4	58.3	0.2591111111111111	0.008988332629402972	200.0	2.5
20000	Q = -4	4	13.0	0.057777777777777775	0.005775878130257164	200.0	2.5
20000	Q = 0	4	84.5	0.3755555555555557	0.01445868244143936	200.0	2.5
21000	Q = +2	4	54.5	0.24222222222222226	0.012094733518154559	210.0	2.625
21000	Q = +4	4	14.4	0.06400000000000003	0.006079491712202426	210.0	2.625
21000	Q = -2	4	57.9	0.25733333333333336	0.009119237568303636	210.0	2.625
21000	Q = -4	4	13.0	0.057777777777777775	0.00581375314676995	210.0	2.625
21000	Q = 0	4	85.2	0.3786666666666667	0.014767331311854353	210.0	2.625
22000	Q = +2	4	54.8	0.2435555555555556	0.012177020792909344	220.0	2.75
22000	Q = +4	4	14.2	0.06311111111111113	0.00595548184955312	220.0	2.75
22000	Q = -2	4	58.0	0.2577777777777778	0.00901150004488625	220.0	2.75
22000	Q = -4	4	13.0	0.057777777777777775	0.006072267120568651	220.0	2.75
22000	Q = 0	4	85.0	0.3777777777777779	0.014317581544710597	220.0	2.75
23000	Q = +2	4	54.4	0.2417777777777778	0.012148148148148151	230.0	2.875
23000	Q = +4	4	14.3	0.06355555555555556	0.006181524754081499	230.0	2.875
23000	Q = -2	4	57.8	0.2568888888888889	0.009151671236432887	230.0	2.875
23000	Q = -4	4	13.1	0.058222222222222224	0.006124452328472411	230.0	2.875
23000	Q = 0	4	85.4	0.3795555555555555	0.013837385989731098	230.0	2.875
24000	Q = +2	4	54.7	0.24311111111111114	0.01212735347600463	240.0	3.0
24000	Q = +4	4	14.1	0.06266666666666668	0.006124452328472411	240.0	3.0
24000	Q = -2	4	57.8	0.2568888888888889	0.008162949519381282	240.0	3.0
24000	Q = -4	4	12.9	0.057333333333333326	0.00637037037037037	240.0	3.0
24000	Q = 0	4	85.5	0.38	0.013205145108586284	240.0	3.0
25000	Q = +2	4	54.6	0.2426666666666667	0.01083002481925752	250.0	3.125
25000	Q = +4	4	14.1	0.06266666666666668	0.006160184558901271	250.0	3.125
25000	Q = -2	4	57.9	0.25733333333333336	0.00859897591758901	250.0	3.125
25000	Q = -4	4	13.0	0.057777777777777775	0.006036014455544699	250.0	3.125
25000	Q = 0	4	85.4	0.3795555555555555	0.012626533779355563	250.0	3.125
26000	Q = +2	4	55.1	0.2448888888888889	0.010995946378674671	260.0	3.25
26000	Q = +4	4	14.0	0.06222222222222223	0.005925925925925926	260.0	3.25
26000	Q = -2	4	58.1	0.25822222222222224	0.009542626912703949	260.0	3.25
26000	Q = -4	4	12.8	0.056888888888888885	0.005691665988829199	260.0	3.25
26000	Q = 0	4	85.0	0.37777777777777777	0.013316862254366952	260.0	3.25
27000	Q = +2	4	54.7	0.2431111111111111	0.010826984527759091	270.0	3.375
27000	Q = +4	4	14.0	0.06222222222222223	0.006108304630544683	270.0	3.375
27000	Q = -2	4	58.2	0.25866666666666666	0.00975530526409145	270.0	3.375
27000	Q = -4	4	12.7	0.05644444444444445	0.005425135829214979	270.0	3.375
27000	Q = 0	4	85.4	0.3795555555555555	0.012764835098392898	270.0	3.375
28000	Q = +2	4	55.1	0.2448888888888889	0.010358723618615312	280.0	3.5
28000	Q = +4	4	14.0	0.06222222222222223	0.0063202160022819386	280.0	3.5
28000	Q = -2	4	58.0	0.2577777777777778	0.010327955589886443	280.0	3.5
28000	Q = -4	4	12.7	0.05644444444444445	0.005384527954188517	280.0	3.5
28000	Q = 0	4	85.2	0.37866666666666665	0.013047134137069032	280.0	3.5
29000	Q = +2	4	55.5	0.24666666666666665	0.010891660015237215	290.0	3.625
29000	Q = +4	4	14.0	0.06222222222222223	0.006354847582082138	290.0	3.625
29000	Q = -2	4	58.2	0.25866666666666666	0.009977753031397172	290.0	3.625
29000	Q = -4	4	12.5	0.05555555555555556	0.005433220983968073	290.0	3.625
29000	Q = 0	4	84.8	0.37688888888888894	0.013461116078933978	290.0	3.625
30000	Q = +2	4	56.0	0.2488888888888889	0.010621302713442918	300.0	3.75
30000	Q = +4	4	13.7	0.0608888888888889	0.006321952086919072	300.0	3.75
30000	Q = -2	4	58.7	0.2608888888888889	0.010179190154845558	300.0	3.75
30000	Q = -4	4	12.3	0.05466666666666666	0.005004250593793937	300.0	3.75
30000	Q = 0	4	84.3	0.3746666666666666	0.013135152680484659	300.0	3.75
31000	Q = +2	4	56.0	0.2488888888888889	0.009827036415867851	310.0	3.875
31000	Q = +4	4	13.7	0.0608888888888889	0.006145916596353049	310.0	3.875
31000	Q = -2	4	58.6	0.2604444444444444	0.011090350976126165	310.0	3.875
31000	Q = -4	4	12.3	0.05466666666666666	0.005004250593793937	310.0	3.875
31000	Q = 0	4	84.4	0.3751111111111111	0.0131042040814791	310.0	3.875
32000	Q = +2	4	57.0	0.2533333333333333	0.009011500044886251	320.0	4.0
32000	Q = +4	4	13.5	0.06	0.006893268221707757	320.0	4.0
32000	Q = -2	4	59.5	0.2644444444444445	0.011365000541635945	320.0	4.0
32000	Q = -4	4	12.2	0.05422222222222221	0.005123441915789802	320.0	4.0
32000	Q = 0	4	82.8	0.368	0.011995426654813134	320.0	4.0
33000	Q = +2	4	56.7	0.25199999999999995	0.010286432792201452	330.0	4.125
33000	Q = +4	4	13.5	0.06	0.0062941172699994075	330.0	4.125
33000	Q = -2	4	59.0	0.26222222222222225	0.010621302713442918	330.0	4.125
33000	Q = -4	4	12.3	0.05466666666666666	0.004825628881452542	330.0	4.125
33000	Q = 0	4	83.5	0.3711111111111111	0.011518458973288986	330.0	4.125
34000	Q = +2	4	55.9	0.2484444444444445	0.00972488499690448	340.0	4.25
34000	Q = +4	4	13.8	0.06133333333333334	0.006278405955679139	340.0	4.25
34000	Q = -2	4	59.0	0.26222222222222225	0.009393106657272506	340.0	4.25
34000	Q = -4	4	12.4	0.05511111111111111	0.004786813161897337	340.0	4.25
34000	Q = 0	4	83.9	0.37288888888888894	0.011617119952660944	340.0	4.25
35000	Q = +2	4	56.1	0.2493333333333333	0.009496515858096206	350.0	4.375
35000	Q = +4	4	13.6	0.06044444444444445	0.006697869366196926	350.0	4.375
35000	Q = -2	4	59.0	0.26222222222222225	0.009601097330974608	350.0	4.375
35000	Q = -4	4	12.2	0.054222222222222234	0.0047684376116832825	350.0	4.375
35000	Q = 0	4	84.1	0.3737777777777778	0.011388151135394143	350.0	4.375
36000	Q = +2	4	56.4	0.2506666666666667	0.009764300476020196	360.0	4.5
36000	Q = +4	4	13.4	0.05955555555555555	0.00666502037286044	360.0	4.5
36000	Q = -2	4	58.3	0.2591111111111111	0.01026507389707852	360.0	4.5
36000	Q = -4	4	12.2	0.054222222222222234	0.00462829610424098	360.0	4.5
36000	Q = 0	4	84.7	0.3764444444444445	0.010967966826002724	360.0	4.5
37000	Q = +2	4	55.7	0.2475555555555556	0.008665083742749486	370.0	4.625
37000	Q = +4	4	13.5	0.06	0.0062591496812674395	370.0	4.625
37000	Q = -2	4	58.1	0.25822222222222224	0.00961137871603472	370.0	4.625
37000	Q = -4	4	12.4	0.05511111111111111	0.004740740740740741	370.0	4.625
37000	Q = 0	4	85.3	0.3791111111111111	0.009961241762378809	370.0	4.625
38000	Q = +2	4	56.0	0.2488888888888889	0.007867210694726966	380.0	4.75
38000	Q = +4	4	13.5	0.06	0.006081296519044086	380.0	4.75
38000	Q = -2	4	58.8	0.2613333333333333	0.009664892699437093	380.0	4.75
38000	Q = -4	4	12.2	0.054222222222222234	0.004580629580367497	380.0	4.75
38000	Q = 0	4	84.5	0.3755555555555555	0.010118637817202479	380.0	4.75
39000	Q = +2	4	55.9	0.2484444444444444	0.009143273555087095	390.0	4.875
39000	Q = +4	4	13.6	0.060444444444444426	0.006151270960600502	390.0	4.875
39000	Q = -2	4	59.0	0.2622222222222222	0.010004114379931334	390.0	4.875
39000	Q = -4	4	12.2	0.054222222222222234	0.004532461789860253	390.0	4.875
39000	Q = 0	4	84.3	0.3746666666666667	0.010005211262164769	390.0	4.875
40000	Q = +2	4	56.0	0.24888888888888885	0.009346257952940744	400.0	5.0
40000	Q = +4	4	13.3	0.0591111111111111	0.006356574208274056	400.0	5.0
40000	Q = -2	4	59.3	0.26355555555555554	0.009556416843182305	400.0	5.0
40000	Q = -4	4	12.1	0.05377777777777778	0.00446661138716484	400.0	5.0
40000	Q = 0	4	84.3	0.37466666666666665	0.010765998399421729	400.0	5.0
41000	Q = +2	4	56.1	0.2493333333333333	0.009679642206767187	410.0	5.125
41000	Q = +4	4	13.3	0.0591111111111111	0.006758219098048618	410.0	5.125
41000	Q = -2	4	59.2	0.26311111111111113	0.00919951093111705	410.0	5.125
41000	Q = -4	4	12.0	0.05333333333333333	0.004542136212372116	410.0	5.125
41000	Q = 0	4	84.4	0.3751111111111111	0.010769055908377038	410.0	5.125
42000	Q = +2	4	56.1	0.2493333333333333	0.008775824130145117	420.0	5.25
42000	Q = +4	4	13.3	0.0591111111111111	0.0067906172659945715	420.0	5.25
42000	Q = -2	4	58.8	0.2613333333333333	0.009458305007118438	420.0	5.25
42000	Q = -4	4	12.0	0.05333333333333333	0.004542136212372116	420.0	5.25
42000	Q = 0	4	84.8	0.3768888888888888	0.01088258825019672	420.0	5.25
43000	Q = +2	4	55.8	0.248	0.008908620076072833	430.0	5.375
43000	Q = +4	4	13.3	0.0591111111111111	0.0063910087733697754	430.0	5.375
43000	Q = -2	4	58.9	0.2617777777777778	0.009496515858096206	430.0	5.375
43000	Q = -4	4	11.8	0.05244444444444444	0.00516610245160376	430.0	5.375
43000	Q = 0	4	85.2	0.37866666666666665	0.011062610194130058	430.0	5.375
44000	Q = +2	4	55.6	0.24711111111111114	0.00856701173025242	440.0	5.5
44000	Q = +4	4	13.4	0.05955555555555555	0.006795463668847239	440.0	5.5
44000	Q = -2	4	59.2	0.26311111111111113	0.009504601441389888	440.0	5.5
44000	Q = -4	4	11.5	0.051111111111111114	0.0049246726336576755	440.0	5.5
44000	Q = 0	4	85.3	0.3791111111111111	0.010927871766465196	440.0	5.5
45000	Q = +2	4	55.6	0.2471111111111111	0.00886911380568638	450.0	5.625
45000	Q = +4	4	13.4	0.05955555555555555	0.0061512709606005005	450.0	5.625
45000	Q = -2	4	59.1	0.2626666666666667	0.010316260953216996	450.0	5.625
45000	Q = -4	4	11.6	0.05155555555555556	0.004786813161897336	450.0	5.625
45000	Q = 0	4	85.3	0.3791111111111112	0.012378130189809959	450.0	5.625
46000	Q = +2	4	56.2	0.2497777777777778	0.00907943907913752	460.0	5.75
46000	Q = +4	4	12.9	0.057333333333333326	0.006015982371628727	460.0	5.75
46000	Q = -2	4	58.8	0.2613333333333333	0.010554970744033705	460.0	5.75
46000	Q = -4	4	11.4	0.050666666666666665	0.005010825044529707	460.0	5.75
46000	Q = 0	4	85.7	0.3808888888888888	0.011283599421824959	460.0	5.75
47000	Q = +2	4	56.5	0.2511111111111111	0.008465211630910607	470.0	5.875
47000	Q = +4	4	12.6	0.056	0.005225242100310635	470.0	5.875
47000	Q = -2	4	58.9	0.2617777777777778	0.010526861584290677	470.0	5.875
47000	Q = -4	4	11.3	0.050222222222222224	0.0049157511179369045	470.0	5.875
47000	Q = 0	4	85.7	0.38088888888888894	0.011533692518015956	470.0	5.875
48000	Q = +2	4	56.3	0.25022222222222223	0.008939362869064051	480.0	6.0
48000	Q = +4	4	12.8	0.056888888888888885	0.0057300976609818395	480.0	6.0
48000	Q = -2	4	57.9	0.2573333333333333	0.008924619544787573	480.0	6.0
48000	Q = -4	4	11.4	0.050666666666666665	0.0051830683509736	480.0	6.0
48000	Q = 0	4	86.6	0.3848888888888889	0.010789417159130735	480.0	6.0
49000	Q = +2	4	56.1	0.2493333333333333	0.008850534537033387	490.0	6.125
49000	Q = +4	4	12.9	0.057333333333333326	0.005979388465366094	490.0	6.125
49000	Q = -2	4	58.1	0.25822222222222224	0.008522060455270904	490.0	6.125
49000	Q = -4	4	11.4	0.050666666666666665	0.0051830683509736	490.0	6.125
