frame	type	coordination	number	fraction	err	mT
0	Q = +2	4	2.5517241379310347	0.2835249042145593	0.03425393884973157	0.55685714
0	Q = +4	4	1.4166666666666667	0.15740740740740744	0.028878311108431726	0.55685714
0	Q = -2	4	2.392857142857143	0.2658730158730158	0.028194571920190772	0.55685714
0	Q = -4	4	1.1875	0.13194444444444448	0.011197580205970207	0.55685714
0	Q = 0	4	3.4	0.3777777777777778	0.02588027361734935	0.55685714
100	Q = +2	4	2.642857142857143	0.2936507936507935	0.031929218677657266	0.708552378
100	Q = +4	4	1.5	0.16666666666666669	0.034146460952936615	0.708552378
100	Q = -2	4	2.310344827586207	0.2567049808429119	0.02762874540585433	0.708552378
100	Q = -4	4	1.1333333333333333	0.12592592592592594	0.010094594723988841	0.708552378
100	Q = 0	4	3.533333333333333	0.3925925925925926	0.02754478703057044	0.708552378
200	Q = +2	4	2.5925925925925926	0.2880658436213992	0.03152712141075742	0.860247616
200	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	0.860247616
200	Q = -2	4	2.3333333333333335	0.25925925925925924	0.029340866197393983	0.860247616
200	Q = -4	4	1.125	0.12500000000000003	0.009487917375888517	0.860247616
200	Q = 0	4	3.4193548387096775	0.3799283154121864	0.029944944192409208	0.860247616
300	Q = +2	4	2.4074074074074074	0.2674897119341563	0.027980745815191454	1.011942854
300	Q = +4	4	1.4166666666666667	0.1574074074074074	0.031953287703875934	1.011942854
300	Q = -2	4	2.5517241379310347	0.2835249042145593	0.03195765862505747	1.011942854
300	Q = -4	4	1.1176470588235294	0.12418300653594774	0.008949714991914477	1.011942854
300	Q = 0	4	3.3548387096774195	0.37275985663082445	0.027530988343615084	1.011942854
400	Q = +2	4	2.4814814814814814	0.27572016460905346	0.029872208783383553	1.163638092
400	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	1.163638092
400	Q = -2	4	2.6	0.28888888888888886	0.028984026467441703	1.163638092
400	Q = -4	4	1.1333333333333333	0.12592592592592594	0.010094594723988843	1.163638092
400	Q = 0	4	3.2903225806451615	0.3655913978494625	0.029235830669883466	1.163638092
500	Q = +2	4	2.607142857142857	0.2896825396825396	0.02933010294455482	1.31533333
500	Q = +4	4	1.5555555555555556	0.17283950617283952	0.041866234463736225	1.31533333
500	Q = -2	4	2.566666666666667	0.2851851851851851	0.028531701519193375	1.31533333
500	Q = -4	4	1.2	0.13333333333333336	0.011878277418329971	1.31533333
500	Q = 0	4	3.129032258064516	0.34767025089605735	0.03037092496675966	1.31533333
600	Q = +2	4	2.5714285714285716	0.28571428571428564	0.030471168506474414	1.467028568
600	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	1.467028568
