frame	coordination	charge	mT	err
0	3	0.04233870967741935	0.5568571399999934	0.05515171686154384
0	4	0.021505376344086023	0.5568571400000025	0.12122811341684166
100	3	0.03024193548387097	0.7085523780000028	0.055012019834529406
100	4	0.021505376344086023	0.7085523780000005	0.11777567298921011
200	3	0.04233870967741935	0.8602476160000105	0.054259181726107955
200	4	-0.043010752688172046	0.8602476160000034	0.11840959961652514
300	3	0.06048387096774194	1.0119428540000166	0.052874346505706354
300	4	-0.0931899641577061	1.0119428540000028	0.1206794806640697
400	3	0.0625	1.1636380920000087	0.05310235007060783
400	4	-0.10752688172043011	1.163638092000002	0.11847982653665204
500	3	0.056451612903225805	1.3153333299999987	0.053109185480635694
500	4	-0.08602150537634409	1.315333329999992	0.11962566588750505
600	3	0.06451612903225806	1.4670285679999937	0.05309991691572596
600	4	-0.1003584229390681	1.4670285679999935	0.12129823241347748
700	3	0.05040322580645161	1.6187238059999898	0.052109950338138554
700	4	-0.07885304659498207	1.6187238059999944	0.11856092583769093
800	3	0.05443548387096774	1.7704190439999865	0.052339598929727435
800	4	-0.11469534050179211	1.7704190439999945	0.11823775821355591
900	3	0.05846774193548387	1.9221142819999846	0.05067624050870411
900	4	-0.0931899641577061	1.922114281999999	0.11852350228650343
1000	3	0.056451612903225805	2.0738095199999833	0.0506785472217922
1000	4	-0.07168458781362007	2.073809520000004	0.11482097757737894
1100	3	0.07056451612903226	2.2255047579999725	0.05017648619588833
1100	4	-0.12903225806451613	2.22550475799999	0.11328292821054739
1200	3	0.046370967741935484	2.3771999959999572	0.049552320801245296
1200	4	-0.10752688172043011	2.3771999959999883	0.11083335840461782
1300	3	0.016129032258064516	2.5288952340000006	0.04849277220591408
1300	4	-0.035842293906810034	2.528895233999988	0.10912574897691406
1400	3	0.006048387096774193	2.68059047199996	0.04807375343766027
1400	4	-0.007168458781362007	2.680590471999987	0.10819694439655855
1500	3	-0.006048387096774193	2.8322857100000225	0.047563213032662206
1500	4	0.02867383512544803	2.832285709999986	0.10552970199245905
1600	3	-0.028225806451612902	2.983980947999963	0.046165876172357644
1600	4	0.05017921146953405	2.983980947999986	0.10377579972785989
1700	3	-0.06048387096774194	3.1356761860000417	0.04674788576474556
1700	4	0.07885304659498207	3.1356761859999867	0.099654209458327
1800	3	-0.08870967741935484	3.287371423999966	0.0461767142127612
1800	4	0.12186379928315412	3.287371423999987	0.09845618814892723
1900	3	-0.11491935483870967	3.439066662000057	0.04385726298162354
1900	4	0.12903225806451613	3.4390666619999837	0.09549797546808163
2000	3	-0.13911290322580644	3.590761899999968	0.04397196004909102
2000	4	0.17921146953405018	3.590761899999985	0.0927366177839891
2100	3	-0.13306451612903225	3.7424571380000717	0.043712483203523875
2100	4	0.15053763440860216	3.7424571379999856	0.09067258967734287
2200	3	-0.1310483870967742	3.894152375999971	0.04343852255322861
2200	4	0.13620071684587814	3.894152375999986	0.09075409680843742
2300	3	-0.1592741935483871	4.045847614000085	0.043155077565474646
2300	4	0.14336917562724014	4.045847613999987	0.08985756623700236
2400	3	-0.18548387096774194	4.197542851999975	0.04398431787359991
2400	4	0.14336917562724014	4.197542851999988	0.08694058747757849
2500	3	-0.16532258064516128	4.349238090000069	0.044065373730546586
2500	4	0.14336917562724014	4.349238089999978	0.09042967157883203
2600	3	-0.19959677419354838	4.500933328000013	0.04298556383192564
2600	4	0.2007168458781362	4.500933327999979	0.08712536205325791
2700	3	-0.20362903225806453	4.652628566000103	0.04306107032206348
2700	4	0.16487455197132617	4.652628565999981	0.08885843976657432
2800	3	-0.23387096774193547	4.80432380399998	0.04365783800091866
2800	4	0.2078853046594982	4.804323803999983	0.08435726262164366
2900	3	-0.2399193548387097	4.956019042000038	0.04325001852807151
2900	4	0.2007168458781362	4.956019041999985	0.0834983171207799
3000	3	-0.2540322580645161	5.107714280000071	0.043168619409926924
