frame	type	coordination	number	fraction	err	mT	mT_2
0	Q = +2	4	2.5517241379310347	0.2835249042145593	0.03425393884973157	0.55685714	1.39214285
0	Q = +4	4	1.4166666666666667	0.15740740740740744	0.028878311108431726	0.55685714	1.39214285
0	Q = -2	4	2.392857142857143	0.2658730158730158	0.02819457192019077	0.55685714	1.39214285
0	Q = -4	4	1.1875	0.13194444444444448	0.011197580205970208	0.55685714	1.39214285
0	Q = 0	4	3.4	0.3777777777777778	0.02588027361734935	0.55685714	1.39214285
100	Q = +2	4	2.642857142857143	0.2936507936507935	0.031929218677657266	0.7085523779999999	1.7713809449999998
100	Q = +4	4	1.5	0.16666666666666669	0.034146460952936615	0.7085523779999999	1.7713809449999998
100	Q = -2	4	2.3103448275862073	0.2567049808429119	0.027628745405854332	0.7085523779999999	1.7713809449999998
100	Q = -4	4	1.1333333333333333	0.12592592592592594	0.010094594723988841	0.7085523779999999	1.7713809449999998
100	Q = 0	4	3.533333333333333	0.3925925925925926	0.02754478703057044	0.7085523779999999	1.7713809449999998
200	Q = +2	4	2.592592592592593	0.2880658436213992	0.03152712141075742	0.860247616	2.15061904
200	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	0.860247616	2.15061904
200	Q = -2	4	2.333333333333333	0.25925925925925924	0.02934086619739398	0.860247616	2.15061904
200	Q = -4	4	1.125	0.12500000000000006	0.009487917375888515	0.860247616	2.15061904
200	Q = 0	4	3.419354838709677	0.3799283154121864	0.029944944192409208	0.860247616	2.15061904
300	Q = +2	4	2.4074074074074074	0.2674897119341563	0.027980745815191454	1.0119428540000002	2.5298571350000003
300	Q = +4	4	1.4166666666666667	0.1574074074074074	0.031953287703875934	1.0119428540000002	2.5298571350000003
300	Q = -2	4	2.5517241379310347	0.2835249042145593	0.03195765862505747	1.0119428540000002	2.5298571350000003
300	Q = -4	4	1.1176470588235294	0.12418300653594774	0.008949714991914477	1.0119428540000002	2.5298571350000003
300	Q = 0	4	3.3548387096774195	0.3727598566308245	0.027530988343615084	1.0119428540000002	2.5298571350000003
400	Q = +2	4	2.4814814814814814	0.27572016460905346	0.029872208783383557	1.163638092	2.9090952299999997
400	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	1.163638092	2.9090952299999997
400	Q = -2	4	2.6	0.2888888888888889	0.028984026467441706	1.163638092	2.9090952299999997
400	Q = -4	4	1.1333333333333333	0.12592592592592594	0.010094594723988843	1.163638092	2.9090952299999997
400	Q = 0	4	3.290322580645161	0.3655913978494625	0.029235830669883462	1.163638092	2.9090952299999997
500	Q = +2	4	2.607142857142857	0.2896825396825396	0.02933010294455482	1.31533333	3.288333325
500	Q = +4	4	1.5555555555555556	0.17283950617283952	0.04186623446373623	1.31533333	3.288333325
500	Q = -2	4	2.566666666666667	0.2851851851851851	0.028531701519193375	1.31533333	3.288333325
500	Q = -4	4	1.2	0.13333333333333336	0.011878277418329973	1.31533333	3.288333325
500	Q = 0	4	3.129032258064516	0.3476702508960573	0.030370924966759662	1.31533333	3.288333325
600	Q = +2	4	2.571428571428572	0.28571428571428564	0.03047116850647441	1.4670285680000001	3.6675714200000002
600	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	1.4670285680000001	3.6675714200000002
600	Q = -2	4	2.6	0.2888888888888889	0.028984026467441706	1.4670285680000001	3.6675714200000002
600	Q = -4	4	1.1875	0.13194444444444448	0.011197580205970208	1.4670285680000001	3.6675714200000002
600	Q = 0	4	3.1666666666666665	0.3518518518518518	0.028729955448928923	1.4670285680000001	3.6675714200000002
700	Q = +2	4	2.3666666666666667	0.2629629629629629	0.028926850651506124	1.618723806	4.046809515
700	Q = +4	4	1.4	0.1555555555555556	0.03394500514782104	1.618723806	4.046809515
700	Q = -2	4	2.5517241379310347	0.2835249042145593	0.028432998612529337	1.618723806	4.046809515
700	Q = -4	4	1.2857142857142858	0.14285714285714288	0.013921555862016335	1.618723806	4.046809515
700	Q = 0	4	3.4	0.3777777777777778	0.025880273617349358	1.618723806	4.046809515
800	Q = +2	4	2.4482758620689653	0.2720306513409961	0.02501973124934733	1.770419044	4.4260476099999995
800	Q = +4	4	1.4444444444444444	0.16049382716049385	0.03754791685369272	1.770419044	4.4260476099999995
800	Q = -2	4	2.655172413793104	0.2950191570881226	0.028266560117515837	1.770419044	4.4260476099999995
800	Q = -4	4	1.2	0.13333333333333336	0.011878277418329973	1.770419044	4.4260476099999995
800	Q = 0	4	3.2258064516129035	0.35842293906810035	0.02662964246739313	1.770419044	4.4260476099999995
900	Q = +2	4	2.3448275862068964	0.2605363984674329	0.02291998545835808	1.922114282	4.805285704999999
900	Q = +4	4	1.3636363636363635	0.15151515151515155	0.030969110538900786	1.922114282	4.805285704999999
900	Q = -2	4	2.566666666666667	0.28518518518518515	0.028029932577293026	1.922114282	4.805285704999999
900	Q = -4	4	1.3076923076923077	0.14529914529914534	0.01480385305614425	1.922114282	4.805285704999999
900	Q = 0	4	3.290322580645161	0.3655913978494624	0.02481501901898724	1.922114282	4.805285704999999
1000	Q = +2	4	2.4827586206896552	0.27586206896551724	0.025040677030537226	2.07380952	5.1845238
1000	Q = +4	4	1.5	0.16666666666666669	0.0419960525565808	2.07380952	5.1845238
1000	Q = -2	4	2.533333333333333	0.28148148148148144	0.027024700206787364	2.07380952	5.1845238
1000	Q = -4	4	1.25	0.13888888888888892	0.014506471329641488	2.07380952	5.1845238
1000	Q = 0	4	3.466666666666667	0.3851851851851853	0.024835678692069964	2.07380952	5.1845238
