frame	type	coordination	number	fraction	err	mT
300	Q = -4	4	1.1176470588235294	0.12418300653594774	0.008949714991914477	1.011942854
300	Q = 0	4	3.3548387096774195	0.37275985663082445	0.027530988343615084	1.011942854
400	Q = +1	3	12.580645161290322	0.39314516129032256	0.017255285049015818	1.163638092
400	Q = +2	4	2.4814814814814814	0.27572016460905346	0.029872208783383553	1.163638092
400	Q = +3	3	4.0	0.125	0.010271983714224208	1.163638092
400	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	1.163638092
400	Q = -1	3	12.225806451612904	0.38205645161290325	0.016504779813044237	1.163638092
400	Q = -2	4	2.6	0.28888888888888886	0.028984026467441703	1.163638092
400	Q = -3	3	3.433333333333333	0.10729166666666666	0.01097804812837019	1.163638092
400	Q = -4	4	1.1333333333333333	0.12592592592592594	0.010094594723988843	1.163638092
400	Q = 0	4	3.2903225806451615	0.3655913978494625	0.029235830669883466	1.163638092
500	Q = +1	3	12.483870967741936	0.3901209677419355	0.015327885329635658	1.31533333
500	Q = +2	4	2.607142857142857	0.2896825396825396	0.02933010294455482	1.31533333
500	Q = +3	3	3.870967741935484	0.12096774193548387	0.010524502529143701	1.31533333
500	Q = +4	4	1.5555555555555556	0.17283950617283952	0.041866234463736225	1.31533333
500	Q = -1	3	12.32258064516129	0.3850806451612903	0.01590060012349222	1.31533333
500	Q = -2	4	2.566666666666667	0.2851851851851851	0.028531701519193375	1.31533333
500	Q = -3	3	3.3225806451612905	0.10383064516129033	0.00997593466594704	1.31533333
500	Q = -4	4	1.2	0.13333333333333336	0.011878277418329971	1.31533333
500	Q = 0	4	3.129032258064516	0.34767025089605735	0.03037092496675966	1.31533333
600	Q = +1	3	12.806451612903226	0.4002016129032258	0.014006898354960245	1.467028568
600	Q = +2	4	2.5714285714285716	0.28571428571428564	0.030471168506474414	1.467028568
600	Q = +3	3	3.933333333333333	0.12291666666666666	0.010043607028632384	1.467028568
600	Q = +4	4	1.5	0.16666666666666669	0.03795166950355407	1.467028568
600	Q = -1	3	12.0	0.375	0.014920262977301304	1.467028568
600	Q = -2	4	2.6	0.28888888888888886	0.028984026467441703	1.467028568
600	Q = -3	3	3.3870967741935485	0.10584677419354839	0.010214169458044804	1.467028568
600	Q = -4	4	1.1875	0.13194444444444448	0.011197580205970207	1.467028568
600	Q = 0	4	3.1666666666666665	0.3518518518518518	0.028729955448928927	1.467028568
700	Q = +1	3	12.741935483870968	0.39818548387096775	0.017687630723487963	1.618723806
700	Q = +2	4	2.3666666666666667	0.2629629629629629	0.028926850651506124	1.618723806
700	Q = +3	3	3.7333333333333334	0.11666666666666667	0.00970253205882312	1.618723806
700	Q = +4	4	1.4	0.15555555555555559	0.033945005147821034	1.618723806
700	Q = -1	3	12.483870967741936	0.3901209677419355	0.017681884565756544	1.618723806
