frame	type	coordination	number	fraction	err	time	mT
15000	Q = +3	3	58.1	0.1249462365591398	0.002997924539975123	150.0	1.875
15000	Q = -1	3	174.6	0.3754838709677419	0.004019453983907149	150.0	1.875
15000	Q = -3	3	58.1	0.1249462365591398	0.006350866109471802	150.0	1.875
16000	Q = +1	3	174.4	0.3750537634408603	0.00710509631160652	160.0	2.0
16000	Q = +3	3	58.3	0.12537634408602152	0.0031581922253635397	160.0	2.0
16000	Q = -1	3	174.5	0.3752688172043011	0.0045252226816019	160.0	2.0
16000	Q = -3	3	57.8	0.12430107526881723	0.006753586072151328	160.0	2.0
17000	Q = +1	3	174.8	0.3759139784946236	0.006985478259543989	170.0	2.125
17000	Q = +3	3	57.7	0.12408602150537633	0.002814019559339144	170.0	2.125
17000	Q = -1	3	175.2	0.3767741935483871	0.004369820976094097	170.0	2.125
17000	Q = -3	3	57.3	0.12322580645161292	0.006586015409745304	170.0	2.125
18000	Q = +1	3	174.3	0.3748387096774193	0.007016672596438605	180.0	2.25
18000	Q = +3	3	57.8	0.1243010752688172	0.002754031930078644	180.0	2.25
18000	Q = -1	3	175.3	0.3769892473118279	0.004055726210699826	180.0	2.25
18000	Q = -3	3	57.6	0.12387096774193547	0.006259177047438875	180.0	2.25
19000	Q = +1	3	174.0	0.3741935483870968	0.007449680892769364	190.0	2.375
19000	Q = +3	3	57.9	0.12451612903225805	0.003015016608575352	190.0	2.375
19000	Q = -1	3	175.6	0.3776344086021505	0.004926979291022099	190.0	2.375
19000	Q = -3	3	57.5	0.1236559139784946	0.006300500297937973	190.0	2.375
20000	Q = +1	3	174.8	0.3759139784946237	0.0071598514633311955	200.0	2.5
20000	Q = +3	3	57.3	0.12322580645161292	0.0031418791399012358	200.0	2.5
20000	Q = -1	3	175.5	0.3774193548387096	0.004456568040822811	200.0	2.5
20000	Q = -3	3	57.4	0.12344086021505375	0.006201441936597036	200.0	2.5
21000	Q = +1	3	175.5	0.3774193548387097	0.006726520537746529	210.0	2.625
21000	Q = +3	3	56.8	0.1221505376344086	0.003449809151402425	210.0	2.625
21000	Q = -1	3	175.1	0.3765591397849463	0.0045161290322580615	210.0	2.625
21000	Q = -3	3	57.6	0.12387096774193547	0.006267381503768999	210.0	2.625
22000	Q = +1	3	176.1	0.3787096774193549	0.006758529993692895	220.0	2.75
22000	Q = +3	3	56.7	0.12193548387096775	0.0032701060151848157	220.0	2.75
22000	Q = -1	3	174.4	0.3750537634408602	0.004219050600591303	220.0	2.75
22000	Q = -3	3	57.8	0.12430107526881723	0.005961468927968969	220.0	2.75
23000	Q = +1	3	176.4	0.3793548387096775	0.006524478998126307	230.0	2.875
23000	Q = +3	3	56.2	0.12086021505376345	0.003020975986481073	230.0	2.875
23000	Q = -1	3	175.2	0.3767741935483871	0.004428228017628822	230.0	2.875
23000	Q = -3	3	57.2	0.12301075268817205	0.005669883851838045	230.0	2.875
24000	Q = +1	3	175.3	0.376989247311828	0.006979958904793896	240.0	3.0
24000	Q = +3	3	56.4	0.12129032258064515	0.0031114744679871967	240.0	3.0
24000	Q = -1	3	176.0	0.378494623655914	0.004840700506418383	240.0	3.0
24000	Q = -3	3	57.3	0.12322580645161292	0.005355275324908889	240.0	3.0
25000	Q = +1	3	176.3	0.37913978494623657	0.006724992477631903	250.0	3.125
25000	Q = +3	3	55.9	0.12021505376344087	0.003164693914644317	250.0	3.125
25000	Q = -1	3	176.0	0.378494623655914	0.004499599950243789	250.0	3.125
25000	Q = -3	3	56.8	0.1221505376344086	0.005697008311485453	250.0	3.125
26000	Q = +1	3	176.2	0.3789247311827957	0.006296829033977854	260.0	3.25
26000	Q = +3	3	55.8	0.12	0.003250404028316741	260.0	3.25
26000	Q = -1	3	176.0	0.3784946236559139	0.0044421314365103	260.0	3.25
26000	Q = -3	3	57.0	0.1225806451612903	0.005797151718754327	260.0	3.25
27000	Q = +1	3	176.0	0.378494623655914	0.0068682664183532536	270.0	3.375
27000	Q = +3	3	56.0	0.12043010752688173	0.00326932021533803	270.0	3.375
27000	Q = -1	3	176.1	0.3787096774193548	0.00474907012904713	270.0	3.375
27000	Q = -3	3	56.9	0.12236559139784944	0.00557529157142674	270.0	3.375
28000	Q = +1	3	176.5	0.3795698924731184	0.006603158403606798	280.0	3.5
28000	Q = +3	3	55.4	0.1191397849462366	0.003027772341497186	280.0	3.5
28000	Q = -1	3	176.3	0.37913978494623657	0.004723029794990432	280.0	3.5
